RUSBag,RUSMaxBag,RUSVoteBag
0.6133,0.64,0.6389
0.6667,0.6462,0.6866
0.6133,0.6027,0.6389
0.6667,0.6761,0.6667
0.6765,0.6769,0.6769
0.5385,0.5385,0.5833
0.6667,0.6571,0.6667
0.6575,0.7246,0.6957
0.6575,0.6944,0.6857
0.6087,0.6462,0.6032
0.6667,0.6857,0.6866
0.6765,0.6765,0.6875
0.6866,0.697,0.7419
0.7188,0.7302,0.6552
0.6761,0.6761,0.75
0.6471,0.6875,0.6462
0.6857,0.6667,0.6364
0.6667,0.6575,0.6944
0.6667,0.6757,0.6486
0.6176,0.6176,0.6563
0.6857,0.7059,0.7385
0.6667,0.6765,0.6866
0.6667,0.6769,0.6875
0.7077,0.6984,0.7097
0.6111,0.6286,0.6
0.7385,0.7164,0.7619
0.6757,0.6479,0.6857
0.7576,0.7742,0.7742
0.6761,0.6957,0.7077
0.6479,0.6667,0.697
0.7059,0.7059,0.7385
0.5854,0.5783,0.6053
0.7273,0.7273,0.7619
0.6389,0.6087,0.6061
0.5714,0.5974,0.6
0.7576,0.7692,0.7692
0.6076,0.6316,0.6216
0.6957,0.7059,0.7077
0.6885,0.6667,0.7
0.6571,0.6571,0.6667
0.6957,0.6765,0.7059
0.6301,0.6216,0.6301
0.6486,0.6765,0.6571
0.6575,0.6761,0.6667
0.7059,0.7059,0.7273
0.7143,0.7143,0.7059
0.6176,0.6377,0.6774
0.6173,0.625,0.6579
0.6133,0.6216,0.6027
0.7302,0.6984,0.6885
0.6479,0.6571,0.6769
0.6316,0.6575,0.6765
0.64,0.6667,0.6765
0.6667,0.6575,0.6957
0.6957,0.7059,0.7273
0.6765,0.6765,0.697
0.6757,0.6757,0.6757
0.5854,0.6216,0.6301
0.6316,0.6216,0.6486
0.7385,0.7541,0.7869
0.6667,0.6667,0.7273
0.7164,0.7059,0.75
0.6389,0.6479,0.6377
0.6571,0.697,0.6667
0.6667,0.6571,0.7164
0.64,0.6667,0.6857
0.6173,0.6329,0.6579
0.7692,0.7213,0.7692
0.6667,0.6667,0.6667
0.6667,0.6389,0.7419
0.6761,0.6857,0.697
0.7742,0.7419,0.7797
0.6197,0.6471,0.6286
0.6571,0.6471,0.6667
0.6857,0.6761,0.6761
0.5823,0.5679,0.6053
0.6494,0.6579,0.6849
0.7353,0.7463,0.7576
0.64,0.6667,0.6575
0.6389,0.6479,0.6286
0.7213,0.7586,0.7241
0.7164,0.7273,0.7302
0.697,0.7077,0.6984
0.7059,0.7273,0.7059
0.64,0.6216,0.6761
0.6765,0.7077,0.7077
0.7143,0.7164,0.7353
0.6579,0.6389,0.7042
0.6957,0.7059,0.6667
0.6957,0.6857,0.7385
0.6575,0.6857,0.6479
0.5926,0.5897,0.6234
0.6301,0.6027,0.6667
0.6571,0.6364,0.6462
0.7213,0.7333,0.7586
0.7273,0.75,0.7302
0.6857,0.6857,0.6957
0.7164,0.7077,0.7188
0.641,0.625,0.6494
0.6575,0.697,0.6957
0.6765,0.7059,0.6667
0.7059,0.7059,0.7059
0.6667,0.6667,0.6667
0.6486,0.6389,0.7059
0.64,0.64,0.7059
0.6857,0.6761,0.7164
0.6301,0.6571,0.5915
0.7164,0.75,0.7869
0.6765,0.6866,0.6769
0.7742,0.7869,0.7869
0.6234,0.6301,0.6316
0.6133,0.5833,0.6176
0.6761,0.6857,0.7059
0.5974,0.6053,0.5946
0.7385,0.7385,0.7164
0.6757,0.6849,0.7246
0.7353,0.7385,0.7813
0.6316,0.6494,0.6316
0.6154,0.6154,0.6316
0.5882,0.597,0.5714
0.7077,0.7188,0.7333
0.6575,0.7164,0.6765
0.75,0.7213,0.7097
0.6563,0.6129,0.6875
0.6216,0.6301,0.6301
0.6486,0.7059,0.7059
0.7463,0.7164,0.7692
0.6667,0.6757,0.6389
0.7042,0.7246,0.7353
0.64,0.6389,0.6571
0.6216,0.6216,0.6389
0.6197,0.5915,0.6286
0.6765,0.6866,0.6769
0.6571,0.7077,0.6769
0.6957,0.7077,0.7419
0.6,0.6176,0.6176
0.5714,0.5854,0.6
0.7419,0.7541,0.7797
0.5783,0.575,0.6234
0.6761,0.6667,0.6866
0.6857,0.6866,0.7273
0.7077,0.7742,0.7302
0.7059,0.7164,0.7619
0.6286,0.6176,0.6269
0.6857,0.7059,0.75
0.5676,0.5753,0.5915
0.6849,0.6757,0.6761
0.6761,0.6957,0.7273
0.7353,0.7463,0.7576
0.6765,0.6984,0.7097
0.7077,0.7302,0.7333
0.6857,0.6957,0.697
0.6857,0.6857,0.7164
0.6486,0.6857,0.7059
0.5897,0.557,0.5634
0.6757,0.6957,0.6667
0.6667,0.6567,0.6857
0.6111,0.6377,0.6154
0.6216,0.6389,0.6176
0.7164,0.7164,0.7302
0.7097,0.678,0.7018
0.6857,0.6957,0.6957
0.7385,0.7385,0.7419
0.6154,0.6154,0.6316
0.6667,0.6667,0.6957
0.5714,0.5676,0.5915
0.6133,0.6133,0.6133
0.6667,0.6849,0.6849
0.6866,0.6571,0.6875
0.7541,0.7333,0.7719
0.7273,0.7385,0.7273
0.7273,0.7385,0.75
0.6154,0.6076,0.64
0.64,0.6486,0.6667
0.6557,0.6452,0.678
0.7164,0.7273,0.75
0.697,0.7302,0.7188
0.64,0.6316,0.6479
0.5952,0.6098,0.641
0.6571,0.6571,0.697
0.697,0.7077,0.7188
0.6389,0.6286,0.6567
0.6027,0.6286,0.6269
0.6957,0.6857,0.7059
0.75,0.7302,0.7667
0.6479,0.6571,0.6667
0.6098,0.6173,0.6
0.6757,0.6944,0.6944
0.6479,0.6286,0.6471
0.6957,0.7164,0.7164
0.7188,0.7419,0.7667
0.64,0.6486,0.6857
0.6866,0.697,0.697
0.6761,0.6857,0.7164
0.6571,0.6957,0.7188
0.6857,0.6957,0.7302
0.6957,0.6567,0.6957
0.6173,0.6329,0.64
0.6216,0.6053,0.6479
0.6857,0.6957,0.7273
0.6316,0.6575,0.6575
0.7273,0.7273,0.7419
0.6571,0.6479,0.6765
0.697,0.697,0.7419
0.6377,0.6462,0.6563
0.6269,0.6269,0.6154
0.7273,0.7813,0.7619
0.7042,0.7353,0.7246
0.6765,0.6571,0.6866
0.64,0.6316,0.7059
0.6667,0.6866,0.697
0.6234,0.6234,0.6761
0.6761,0.6471,0.6765
0.6316,0.6575,0.6571
0.6765,0.6765,0.6563
0.7164,0.7164,0.75
0.6575,0.6667,0.6667
0.7143,0.7164,0.6866
0.6234,0.6316,0.6389
0.6486,0.6857,0.7059
0.7059,0.697,0.7419
0.6154,0.6154,0.6486
0.6667,0.6765,0.6875
0.6486,0.6479,0.6667
0.6389,0.6667,0.6286
0.6667,0.6667,0.6667
0.7059,0.7059,0.7302
0.6761,0.7042,0.7273
0.6494,0.6667,0.6486
0.6857,0.6667,0.7077
0.6301,0.6197,0.6286
0.6857,0.7164,0.697
0.6197,0.6,0.6377
0.7059,0.7164,0.7385
0.6761,0.6857,0.7059
0.6197,0.6197,0.6567
0.6667,0.6957,0.7059
0.7273,0.7273,0.75
0.6494,0.6579,0.6849
0.6571,0.6389,0.6471
0.75,0.7419,0.7667
0.6761,0.6667,0.7059
0.6667,0.6479,0.6471
0.6765,0.6765,0.6667
0.6389,0.6571,0.6471
0.6486,0.6389,0.6479
0.6667,0.6757,0.6667
0.7273,0.7385,0.7188
0.641,0.641,0.6494
0.6486,0.6301,0.6957
0.7164,0.6667,0.6774
0.6575,0.6857,0.6765
0.6301,0.6479,0.6667
0.7419,0.7213,0.7586
0.7164,0.7273,0.7302
0.6133,0.6389,0.6479
0.7143,0.7059,0.7576
0.6479,0.6479,0.7077
0.7246,0.7246,0.7077
0.6667,0.6761,0.6957
0.6133,0.6389,0.6667
0.6857,0.6377,0.6866
0.6479,0.6667,0.6567
0.6471,0.6286,0.6667
0.6765,0.6866,0.6769
0.5926,0.5897,0.6301
0.6667,0.6027,0.6761
0.6957,0.6957,0.6765
0.6667,0.6857,0.6857
0.6866,0.6866,0.6984
0.6571,0.6667,0.6866
0.6316,0.6575,0.6575
0.6571,0.6571,0.6857
0.6197,0.6462,0.6567
0.7188,0.7077,0.7302
0.6761,0.6667,0.7385
0.6857,0.7059,0.7273
0.6494,0.6849,0.6761
0.7042,0.6857,0.7042
0.6,0.6,0.6176
0.6176,0.6774,0.6774
0.7188,0.7213,0.7333
0.697,0.7077,0.7302
0.6316,0.6575,0.6761
0.6667,0.6667,0.6857
0.7188,0.7188,0.7541
0.6316,0.6316,0.6761
0.5814,0.5714,0.6173
0.697,0.7164,0.697
0.6479,0.6286,0.6667
0.6133,0.6027,0.6471
0.6761,0.7273,0.7164
0.6667,0.6761,0.6957
0.7385,0.7419,0.7541
0.7188,0.7188,0.7419
0.6957,0.7273,0.7273
0.6857,0.6957,0.7273
0.5952,0.5854,0.5854
0.6667,0.6761,0.7042
0.8,0.8148,0.8077
0.6076,0.5974,0.6216
0.6866,0.697,0.6984
0.6575,0.6571,0.7059
0.6857,0.6857,0.6866
0.5926,0.6053,0.5867
0.6667,0.6761,0.7059
0.641,0.6667,0.6944
0.6667,0.6667,0.6769
0.6667,0.6757,0.7059
0.6866,0.7188,0.7188
0.64,0.6575,0.6667
0.6575,0.6667,0.6176
0.6857,0.6957,0.7077
0.6286,0.6667,0.6176
0.7419,0.7,0.7797
0.6154,0.6234,0.6667
0.7059,0.6957,0.75
0.6757,0.6849,0.6575
0.6667,0.6667,0.6944
0.7302,0.7097,0.7333
0.6486,0.6575,0.6575
0.6571,0.6667,0.7077
0.6575,0.6667,0.6761
0.7077,0.697,0.7302
0.6197,0.6197,0.6286
0.6667,0.697,0.6563
0.6316,0.6667,0.6857
0.6957,0.7059,0.7059
0.7042,0.7246,0.7273
0.6053,0.6133,0.6197
0.6301,0.6286,0.6269
0.7164,0.7273,0.7273
0.6389,0.6479,0.6571
0.6667,0.6575,0.7273
0.7059,0.6667,0.697
0.6216,0.6571,0.6479
0.6757,0.6849,0.6957
0.6667,0.6757,0.7143
0.7188,0.7302,0.7667
0.64,0.6571,0.6761
0.6479,0.6479,0.6479
0.6765,0.6765,0.6765
0.7302,0.7333,0.7586
0.6667,0.6667,0.697
0.6316,0.5789,0.6176
0.6957,0.7164,0.7164
0.6494,0.6486,0.6486
0.6857,0.6761,0.697
0.5823,0.575,0.6301
0.7164,0.7059,0.7077
0.6667,0.6377,0.6667
0.7619,0.7541,0.7213
0.6154,0.64,0.5946
0.6761,0.6667,0.6957
0.7188,0.7188,0.7097
0.7097,0.7667,0.7458
0.6761,0.7164,0.7188
0.7353,0.7463,0.7576
0.6154,0.64,0.6286
0.6216,0.6571,0.6176
0.6364,0.6452,0.6667
0.6575,0.6667,0.6765
0.6234,0.6234,0.6486
0.7059,0.7385,0.7273
0.6667,0.6667,0.6667
0.6667,0.6769,0.6875
0.6024,0.6024,0.6329
0.6329,0.6053,0.6494
0.6849,0.6849,0.7143
0.5854,0.5897,0.5714
0.7273,0.7164,0.7541
0.7458,0.7586,0.7778
0.6234,0.6216,0.6479
0.7419,0.7458,0.7667
0.6269,0.6154,0.6667
0.6575,0.6486,0.7273
0.6849,0.6575,0.7059
0.6866,0.697,0.7419
0.6757,0.6849,0.7143
0.6667,0.697,0.6984
0.6377,0.6567,0.6567
0.7385,0.75,0.8
0.64,0.6316,0.6479
0.6471,0.6667,0.6875
0.6133,0.6216,0.6197
0.7742,0.7541,0.7797
0.7164,0.6984,0.7188
0.6579,0.6667,0.6944
0.641,0.6216,0.6486
0.6575,0.6761,0.6765
0.7059,0.7273,0.7213
0.6389,0.6301,0.6286
0.7273,0.7164,0.7619
0.6216,0.64,0.6389
0.6316,0.6575,0.6571
0.6471,0.6364,0.6667
0.7463,0.7246,0.7385
0.6944,0.7042,0.7059
0.6154,0.6316,0.6761
0.7059,0.7385,0.75
0.6667,0.6571,0.6667
0.6567,0.6866,0.6885
0.6761,0.6667,0.7273
0.6857,0.6667,0.7385
0.5946,0.5946,0.6377
0.6957,0.7273,0.697
0.6173,0.625,0.6667
0.6329,0.6494,0.6329
0.7188,0.6875,0.7857
0.7164,0.697,0.7188
0.6857,0.6567,0.6957
0.75,0.7188,0.807
0.6053,0.6053,0.6301
0.6479,0.6176,0.6364
0.6471,0.6364,0.6061
0.64,0.6486,0.6761
0.6765,0.6667,0.7077
0.6575,0.6667,0.6857
0.6301,0.6377,0.6667
0.6957,0.7164,0.7059
0.7059,0.75,0.7619
0.6667,0.6857,0.697
0.6857,0.6389,0.7164
0.6957,0.697,0.6769
0.6,0.5897,0.6154
0.6286,0.6087,0.6377
0.6579,0.6757,0.6944
0.7692,0.7937,0.8475
0.7164,0.7164,0.75
0.7164,0.7164,0.6875
0.5926,0.5823,0.6234
0.6316,0.64,0.6389
0.6571,0.6567,0.7077
0.6486,0.64,0.6571
0.6286,0.6377,0.6462
0.6761,0.6857,0.6957
0.6479,0.697,0.6875
0.6667,0.7042,0.7143
0.641,0.641,0.6944
0.6486,0.6957,0.6761
0.5429,0.5352,0.5846
0.6957,0.6957,0.7059
0.6957,0.7164,0.7059
0.6885,0.6774,0.6667
0.6486,0.6575,0.6957
0.6567,0.6667,0.6774
0.7246,0.7246,0.697
0.7273,0.7164,0.75
0.7246,0.7463,0.75
0.6154,0.6053,0.6027
0.6857,0.6857,0.6957
0.6857,0.6761,0.7385
0.6301,0.6479,0.6571
0.5926,0.64,0.6076
0.6857,0.7059,0.7385
0.6133,0.6216,0.6389
0.6757,0.6579,0.6761
0.6667,0.6575,0.697
0.7937,0.8065,0.8197
0.7059,0.7385,0.75
0.7302,0.7188,0.7213
0.6389,0.6389,0.6176
0.6575,0.6471,0.7059
0.6479,0.6571,0.6769
0.6,0.6154,0.64
0.7059,0.6957,0.7385
0.6479,0.6479,0.6567
0.7143,0.7273,0.7077
0.625,0.5974,0.6301
0.6269,0.6667,0.6667
0.6761,0.6957,0.7059
0.6301,0.6479,0.6567
0.6216,0.6301,0.6389
0.6857,0.6957,0.6957
0.7385,0.7273,0.8
0.7059,0.6765,0.7385
0.6579,0.6757,0.6667
0.6575,0.6957,0.6957
0.6761,0.6667,0.6957
0.7586,0.7458,0.7719
0.6667,0.6857,0.6857
0.6061,0.6061,0.5937
0.7419,0.7541,0.7241
0.6053,0.6027,0.6
0.6076,0.6076,0.6479
0.6197,0.6087,0.6061
0.6866,0.6866,0.7097
0.6389,0.6667,0.6571
0.6957,0.6957,0.7273
0.7059,0.697,0.7302
0.6,0.5897,0.6076
0.7059,0.7273,0.7385
0.7188,0.697,0.7302
0.6316,0.64,0.6479
0.6486,0.6857,0.6957
0.6957,0.6857,0.7385
0.64,0.6486,0.6377
0.6757,0.6571,0.7059
0.64,0.6316,0.6571
0.6857,0.6857,0.7059
0.7059,0.697,0.7419
0.6957,0.6471,0.7188
0.7077,0.7164,0.7302
0.6216,0.6133,0.6197
0.6053,0.6301,0.6027
0.6486,0.6761,0.6479
0.7246,0.7059,0.7164
0.6957,0.6957,0.7164
0.6486,0.6571,0.6957
0.6957,0.697,0.7188
0.6667,0.6765,0.6567
0.6667,0.6557,0.6441
0.6486,0.6575,0.6575
0.7164,0.6765,0.697
0.6154,0.6301,0.6667
0.7241,0.7368,0.7636
0.6667,0.6849,0.6957
0.6567,0.7143,0.6462
0.6757,0.6667,0.7246
0.7164,0.7077,0.7385
0.7059,0.7188,0.7188
0.6053,0.6053,0.6269
0.64,0.6571,0.7059
0.6389,0.6389,0.6377
0.6,0.6076,0.6076
0.6957,0.6765,0.7077
0.7059,0.7164,0.7385
0.6757,0.6944,0.6667
0.6053,0.6053,0.6197
0.5974,0.6216,0.6377
0.6486,0.6316,0.6957
0.6769,0.6984,0.7119
0.7273,0.7385,0.7619
0.6765,0.6462,0.6866
0.6667,0.6667,0.6667
0.6957,0.697,0.7385
0.697,0.6875,0.6984
0.6957,0.6957,0.7619
0.5926,0.6216,0.5946
0.6216,0.6479,0.6389
0.7385,0.75,0.7619
0.6111,0.6027,0.6377
0.6667,0.6957,0.6857
0.6765,0.7188,0.6769
0.64,0.6761,0.6575
0.6,0.6316,0.64
0.6944,0.7143,0.7463
0.641,0.625,0.6053
0.6667,0.6944,0.7143
0.6667,0.6761,0.6857
0.6765,0.6866,0.6875
0.7302,0.7188,0.75
0.6053,0.6133,0.5946
0.7059,0.697,0.7541
0.6765,0.6765,0.6462
0.6389,0.6667,0.6667
0.7385,0.7937,0.7742
0.6471,0.6769,0.6769
0.6,0.6154,0.6234
0.7059,0.7385,0.7077
0.7097,0.7241,0.7458
0.5974,0.5789,0.5946
0.6667,0.6857,0.7164
0.6885,0.7119,0.7213
0.64,0.6486,0.6486
0.6667,0.6667,0.6471
0.6571,0.6765,0.6866
0.6,0.6154,0.6053
0.7463,0.7576,0.7385
0.6053,0.5974,0.6216
0.6857,0.7164,0.697
0.6957,0.697,0.7188
0.7164,0.7164,0.7385
0.6761,0.6479,0.7385
0.6301,0.6286,0.6667
0.7385,0.7188,0.7541
0.7059,0.7059,0.7273
0.6575,0.6479,0.6857
0.6957,0.697,0.6866
0.5867,0.5676,0.5714
0.6667,0.6389,0.6765
0.7059,0.7059,0.7059
0.6234,0.6154,0.6486
0.6667,0.7059,0.6957
0.6857,0.6857,0.6957
0.6957,0.7059,0.7059
0.6857,0.6957,0.7619
0.6053,0.6216,0.6301
0.7273,0.7619,0.8
0.6301,0.6866,0.6769
0.6667,0.6667,0.7164
0.6471,0.6269,0.6875
0.6957,0.6857,0.7385
0.7385,0.6984,0.7419
0.6076,0.6154,0.6486
0.6389,0.6197,0.6286
0.7302,0.7541,0.7541
0.6494,0.6849,0.6849
0.697,0.6769,0.6769
0.6479,0.6389,0.6667
0.6857,0.7059,0.6957
0.5517,0.5854,0.5783
0.7458,0.7719,0.7843
0.6286,0.6563,0.6769
0.6957,0.7273,0.75
0.6349,0.6462,0.6102
0.7813,0.7813,0.8065
0.6486,0.6575,0.6761
0.6316,0.64,0.6667
0.6957,0.6761,0.7059
0.6571,0.6866,0.7077
0.6076,0.6076,0.6234
0.6857,0.6957,0.7164
0.6765,0.6769,0.6462
0.7164,0.697,0.7188
0.75,0.7619,0.7619
0.6,0.6154,0.6154
0.6479,0.6761,0.6769
0.6579,0.6757,0.6757
0.6316,0.6316,0.6761
0.6667,0.6769,0.7097
0.6571,0.6667,0.697
0.7164,0.7059,0.7188
0.6769,0.697,0.6667
0.7077,0.6765,0.6885
0.6765,0.697,0.6875
0.5926,0.6098,0.6667
0.7188,0.6774,0.7097
0.7353,0.7463,0.7463
0.6857,0.6957,0.6866
0.7385,0.7077,0.7742
0.6761,0.6857,0.6866
0.6389,0.6866,0.5882
0.6316,0.6316,0.6667
0.6316,0.6486,0.6667
0.6866,0.6462,0.6897
0.6765,0.6765,0.6875
0.6286,0.6377,0.6269
0.6765,0.7273,0.7077
0.6486,0.6575,0.6761
0.6154,0.6076,0.6575
0.7164,0.7164,0.7273
0.7059,0.7059,0.7419
0.7059,0.697,0.7188
0.64,0.6301,0.6389
0.6667,0.6667,0.7
0.7273,0.6875,0.75
0.6957,0.6761,0.697
0.6667,0.6667,0.6571
0.6,0.6076,0.6316
0.6575,0.6957,0.7273
0.6866,0.6567,0.7077
0.6076,0.5789,0.6486
0.7059,0.7164,0.7077
0.6479,0.6866,0.6765
0.6667,0.6471,0.6875
0.6173,0.6494,0.6579
0.6494,0.64,0.6667
0.6849,0.7059,0.7059
0.7241,0.7119,0.7547
0.7188,0.7077,0.7333
0.6857,0.6567,0.6667
0.6479,0.697,0.697
0.6486,0.6667,0.6957
0.6571,0.6571,0.697
0.6234,0.64,0.64
0.6494,0.6944,0.7042
0.7059,0.7164,0.7273
0.6944,0.6579,0.6944
0.6575,0.6667,0.697
0.7077,0.7302,0.7419
0.6667,0.6957,0.6571
0.5783,0.6,0.5854
0.7059,0.697,0.7097
0.625,0.6333,0.6032
0.7273,0.75,0.7188
0.7619,0.7667,0.7797
0.7059,0.6667,0.75
0.7576,0.7937,0.7937
0.6286,0.6377,0.6875
0.6154,0.6234,0.6316
0.5946,0.5867,0.5915
0.6316,0.64,0.6389
0.7164,0.7164,0.697
0.5833,0.5797,0.5588
0.6849,0.6849,0.6944
0.625,0.641,0.6757
0.6486,0.6667,0.6667
0.6053,0.6286,0.6087
0.64,0.6857,0.7059
0.7059,0.7059,0.6866
0.6575,0.6957,0.7059
0.7241,0.75,0.7547
0.6216,0.6571,0.6567
0.6866,0.697,0.6774
0.6567,0.6875,0.6875
0.7077,0.7077,0.7302
0.6667,0.6757,0.7246
0.7059,0.697,0.6774
0.6761,0.6765,0.7059
0.6479,0.6471,0.6364
0.64,0.6286,0.6301
0.5412,0.5301,0.5974
0.6857,0.6957,0.7059
0.7742,0.7419,0.8
0.6761,0.6765,0.6957
0.697,0.6667,0.7419
0.7059,0.7164,0.7273
0.7077,0.6984,0.7077
0.6765,0.6667,0.7077
0.5714,0.5854,0.6234
0.6857,0.697,0.697
0.6667,0.6479,0.6957
0.5974,0.6133,0.6301
0.64,0.6316,0.6667
0.6567,0.6567,0.6984
0.6579,0.625,0.6849
0.7246,0.7353,0.7576
0.6329,0.641,0.6579
0.6667,0.6667,0.6667
0.6667,0.6875,0.6769
0.6857,0.6765,0.6667
0.7742,0.7869,0.8
0.6111,0.6087,0.6269
0.6216,0.6,0.6176
0.7273,0.6866,0.7385
0.6667,0.6389,0.6769
0.6757,0.6667,0.7353
0.697,0.7385,0.7188
0.6957,0.6769,0.7419
0.6389,0.6479,0.6377
