RUSBag,RUSMaxBag,RUSVoteBag
0.439,0.5172,0.45
0.4848,0.5,0.4839
0.4103,0.4545,0.4103
0.4054,0.4118,0.4194
0.4828,0.5714,0.5
0.4706,0.5217,0.4839
0.4839,0.6,0.5185
0.4615,0.5385,0.5
0.4688,0.5,0.5
0.4242,0.55,0.4375
0.4,0.5357,0.4444
0.5556,0.4762,0.6
0.375,0.4,0.4286
0.4194,0.5789,0.4483
0.4419,0.5,0.475
0.4857,0.5238,0.5484
0.4,0.55,0.3939
0.5185,0.4706,0.5185
0.4474,0.6364,0.4474
0.3913,0.2941,0.4286
0.4474,0.5385,0.4848
0.56,0.4231,0.5833
0.4667,0.44,0.5385
0.3415,0.4444,0.3684
0.5758,0.625,0.5758
0.4848,0.5185,0.5
0.4545,0.4706,0.4211
0.3778,0.5238,0.3953
0.4722,0.5217,0.4848
0.4615,0.3438,0.5
0.4359,0.3929,0.4571
0.5385,0.3913,0.5652
0.4667,0.3478,0.4444
0.6207,0.5,0.6429
0.4211,0.5,0.5
0.3684,0.4762,0.3889
0.4571,0.4545,0.4706
0.3824,0.7333,0.3824
0.3415,0.3448,0.325
0.4571,0.4286,0.4
0.3784,0.48,0.4
0.5652,0.5455,0.5909
0.5625,0.55,0.5806
0.6,0.55,0.6818
0.4474,0.5909,0.4857
0.3571,0.4074,0.4167
0.3947,0.3871,0.3889
0.3684,0.5238,0.4516
0.4571,0.5294,0.4722
0.4848,0.48,0.4848
0.3684,0.4286,0.3784
0.5152,0.4444,0.5862
0.5517,0.5714,0.5556
0.4091,0.48,0.4286
0.5769,0.5833,0.5652
0.3514,0.4615,0.3636
0.4722,0.4643,0.4571
0.4167,0.56,0.4412
0.4167,0.4737,0.4412
0.5135,0.6087,0.5455
0.5,0.4375,0.56
0.4483,0.5714,0.4444
0.4103,0.4737,0.4211
0.3636,0.4138,0.3659
0.3478,0.4583,0.3333
0.5926,0.6471,0.5926
0.3939,0.5,0.4063
0.4848,0.4074,0.4848
0.5,0.4583,0.5417
0.4848,0.5417,0.4839
0.4571,0.36,0.5517
0.4722,0.6667,0.5862
0.3902,0.375,0.4103
0.3529,0.3846,0.3429
0.5313,0.5,0.5926
0.4848,0.5357,0.4848
0.3571,0.4231,0.3611
0.5172,0.4762,0.4815
0.3947,0.3548,0.4118
0.4167,0.5,0.4286
0.4324,0.5263,0.4706
0.5333,0.5789,0.5714
0.5333,0.4762,0.5
0.4545,0.6522,0.4545
0.375,0.3929,0.375
0.4211,0.5,0.4167
0.5,0.5556,0.5185
0.4722,0.4783,0.5161
0.5862,0.4815,0.6296
0.4359,0.3636,0.4706
0.5,0.3667,0.5
0.4375,0.48,0.4483
0.3793,0.5,0.3846
0.5714,0.5185,0.5714
0.3261,0.5238,0.3111
0.4848,0.5385,0.5161
0.5185,0.3704,0.5385
0.4048,0.56,0.425
0.5588,0.5,0.5484
0.439,0.4516,0.45
0.4146,0.5172,0.4722
0.4211,0.44,0.4706
0.425,0.375,0.4324
0.3721,0.4444,0.3714
0.425,0.45,0.4103
0.5185,0.75,0.5833
0.5926,0.7059,0.64
0.4848,0.5625,0.5172
0.4412,0.5,0.4545
0.4688,0.5,0.5172
0.4118,0.5263,0.4667
0.4839,0.3636,0.5172
0.3684,0.44,0.3784
0.4615,0.5652,0.5
0.4103,0.4444,0.4211
0.4186,0.4667,0.439
0.5313,0.619,0.6071
0.4688,0.4333,0.4688
0.3784,0.4,0.3824
0.4375,0.5217,0.4643
0.4412,0.44,0.4375
0.4419,0.5,0.45
0.5862,0.45,0.6
0.4,0.4286,0.4643
0.4375,0.4,0.4828
0.3556,0.5625,0.381
0.4167,0.5,0.4545
0.4063,0.48,0.4194
0.4118,0.52,0.4242
0.4412,0.3889,0.4516
0.4571,0.5172,0.4571
0.4545,0.5556,0.5
0.4839,0.4074,0.5
0.4375,0.5333,0.4286
0.3529,0.4444,0.3548
0.6207,0.6111,0.6538
0.4444,0.5217,0.4571
0.4,0.375,0.4118
0.4839,0.5333,0.5
0.4595,0.5455,0.5
0.4571,0.4583,0.5357
0.4242,0.4643,0.4516
0.4286,0.4762,0.4412
0.5313,0.5217,0.5667
0.4146,0.4375,0.4595
0.4286,0.5,0.4375
0.3793,0.3158,0.4074
0.3684,0.4615,0.3514
0.4722,0.5455,0.5517
0.425,0.5714,0.4571
0.4167,0.625,0.4242
0.4595,0.4643,0.4722
0.5,0.5,0.5667
0.4857,0.4231,0.5152
0.4848,0.5,0.5
0.5385,0.5556,0.56
0.4688,0.55,0.4615
0.4211,0.3611,0.4324
0.4091,0.5769,0.4186
0.4571,0.4583,0.4242
0.4722,0.5,0.5
0.4737,0.7059,0.4857
0.4103,0.3529,0.4444
0.4412,0.4333,0.4545
0.4054,0.52,0.4286
0.3684,0.4615,0.4118
0.5333,0.4545,0.5333
0.5926,0.5,0.5926
0.4211,0.6875,0.4324
0.5517,0.5714,0.52
0.3684,0.4583,0.3889
0.4474,0.3333,0.4474
0.4571,0.52,0.4545
0.4054,0.3913,0.4242
0.4412,0.5652,0.4412
0.4688,0.4815,0.4828
0.5313,0.4737,0.5357
0.5143,0.4,0.5313
0.4444,0.45,0.4848
0.4706,0.4231,0.5357
0.5152,0.375,0.5484
0.5429,0.5417,0.5758
0.4286,0.5455,0.4286
0.3947,0.4167,0.3889
0.4,0.48,0.4118
0.4333,0.4,0.4815
0.3824,0.4615,0.4138
0.4595,0.4333,0.4848
0.4848,0.6,0.5357
0.4571,0.5238,0.4571
0.4167,0.48,0.4375
0.3396,0.5185,0.3478
0.3864,0.4286,0.381
0.5625,0.5455,0.5484
0.4615,0.3636,0.5217
0.4242,0.4286,0.4483
0.359,0.55,0.4138
0.4444,0.4074,0.5
0.4857,0.3793,0.5313
0.5313,0.6522,0.5667
0.4211,0.4828,0.4324
0.4412,0.4483,0.4242
0.4571,0.3913,0.5
0.4483,0.5833,0.4815
0.5,0.7,0.5161
0.3784,0.3103,0.3824
0.4324,0.25,0.4571
0.4848,0.48,0.5172
0.4103,0.44,0.4324
0.4167,0.4138,0.4412
0.359,0.4762,0.3235
0.5588,0.6818,0.5758
0.3429,0.2353,0.3529
0.4063,0.3333,0.4063
0.4595,0.5,0.4242
0.5278,0.5,0.5588
0.4324,0.4828,0.4848
0.5862,0.7143,0.5862
0.4359,0.52,0.4722
0.4444,0.5185,0.4848
0.3939,0.5455,0.4063
0.4412,0.4783,0.4545
0.5714,0.6667,0.6154
0.5,0.6,0.5769
0.3939,0.4211,0.4333
0.4186,0.44,0.4186
0.5385,0.5238,0.5417
0.381,0.4333,0.375
0.3824,0.4211,0.4194
0.45,0.5769,0.4688
0.48,0.5556,0.5
0.4286,0.5833,0.4865
0.5152,0.4,0.5556
0.4839,0.5625,0.4615
0.3902,0.3214,0.375
0.4063,0.4,0.4063
0.3404,0.3548,0.3409
0.4444,0.55,0.4615
0.3514,0.3704,0.3636
0.4571,0.5556,0.4242
0.5152,0.5455,0.5862
0.5172,0.5294,0.5833
0.5484,0.75,0.5862
0.3243,0.3333,0.3429
0.4737,0.5652,0.4865
0.4839,0.5455,0.5
0.4545,0.5263,0.4516
0.4444,0.5652,0.4286
0.4545,0.5,0.4545
0.4688,0.6111,0.5161
0.4118,0.48,0.4375
0.5,0.5,0.5
0.5152,0.5455,0.5517
0.4595,0.4,0.4722
0.4667,0.35,0.4667
0.5313,0.4762,0.5161
0.4737,0.5,0.5143
0.375,0.4783,0.4286
0.3824,0.4375,0.4194
0.5152,0.4643,0.5313
0.5862,0.55,0.5926
0.375,0.5263,0.3889
0.375,0.4348,0.3947
0.5769,0.6,0.5769
0.4,0.375,0.4242
0.4444,0.5385,0.4545
0.3939,0.4,0.4194
0.4054,0.4706,0.3889
0.3421,0.625,0.3714
0.4054,0.4167,0.4516
0.4118,0.4737,0.4242
0.4545,0.5789,0.4688
0.4848,0.4348,0.4848
0.4286,0.4167,0.44
0.381,0.3889,0.3659
0.425,0.6842,0.4103
0.5,0.5,0.5185
0.3846,0.3913,0.4688
0.4857,0.7222,0.4857
0.4722,0.6522,0.4857
0.4333,0.5556,0.4643
0.4571,0.4828,0.4848
0.4848,0.45,0.4848
0.4,0.5,0.4444
0.4444,0.56,0.4706
0.5,0.375,0.4848
0.4167,0.381,0.4412
0.4118,0.5385,0.3667
0.6154,0.5789,0.6
0.4828,0.4444,0.5417
0.4857,0.5714,0.4706
0.4359,0.4545,0.4474
0.3947,0.3333,0.3947
0.5517,0.6875,0.5517
0.4146,0.5714,0.4474
0.4667,0.3333,0.4348
0.4286,0.44,0.4483
0.4444,0.4167,0.5172
0.4722,0.4545,0.5
0.4483,0.5,0.4643
0.4839,0.6667,0.5172
0.5,0.6,0.5357
0.4359,0.4643,0.5
0.3721,0.4211,0.3659
0.4722,0.4783,0.4848
0.4,0.5455,0.3947
0.4,0.4118,0.3889
0.5,0.5417,0.5385
0.48,0.5625,0.4783
0.625,0.48,0.6087
0.4571,0.625,0.4839
0.5,0.44,0.5769
0.4333,0.6154,0.4815
0.3953,0.4762,0.4211
0.4839,0.3333,0.5
0.4444,0.4783,0.5
0.4706,0.6087,0.5161
0.4103,0.5238,0.4211
0.5313,0.44,0.5185
0.4706,0.4444,0.5172
