@relation 'MyAnt-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 50 -T 0'

@attribute cumulative_bug_count numeric
@attribute nd numeric
@attribute entropy numeric
@attribute SumCyclomaticStrict numeric
@attribute CountLineCodeDecl_delta numeric
@attribute MaxCyclomatic_delta numeric
@attribute s5 numeric
@attribute s11 numeric
@attribute s18 numeric
@attribute s27 numeric
@attribute s33 numeric
@attribute s36 numeric
@attribute s42 numeric
@attribute s94 numeric
@attribute s171 numeric
@attribute s447 numeric
@attribute s634 numeric
@attribute s915 numeric
@attribute s1268 numeric
@attribute s1318 numeric
@attribute s1324 numeric
@attribute s1591 numeric
@attribute s1759 numeric
@attribute s2402 numeric
@attribute s2739 numeric
@attribute s3842 numeric
@attribute s3942 numeric
@attribute s4079 numeric
@attribute s4118 numeric
@attribute s4400 numeric
@attribute s4406 numeric
@attribute s4443 numeric
@attribute s4492 numeric
@attribute s4696 numeric
@attribute s5362 numeric
@attribute s6842 numeric
@attribute bug_introducing {0,1}

@data
3,1,0.904918,22,0,0,11,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.835706,37,0,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.835706,65,4,0,141,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0.835706,65,4,0,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.835706,65,4,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.835706,65,4,0,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.835706,65,4,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.835706,65,4,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.835706,65,4,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.835706,65,4,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.835706,65,4,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.566513,54,123,6,1131,1,115,12,16,25,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0.566513,6,37,2,1171,1,118,11,12,17,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0.566513,30,1,4,111,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.566513,30,1,4,11,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,33,45,14,1161,1,10,0,3,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0.512219,16,4,1,11,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
