Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.9103,0.8874,0.9057,0.9452,0.9128,0.9161,0.9172,0.9139,0.953,0.9595,0.953,0.9333
0.8794,0.9067,0.8667,0.8921,0.8811,0.9054,0.92,0.9028,0.9388,0.9103,0.9178,0.9388
0.8552,0.8429,0.8947,0.8816,0.8671,0.8947,0.8831,0.8649,0.8767,0.9054,0.9091,0.8874
0.9296,0.9007,0.9542,0.9178,0.9379,0.9536,0.9419,0.953,0.966,0.973,0.9315,0.9467
0.9262,0.8933,0.9272,0.9241,0.9333,0.929,0.9172,0.96,0.9536,0.9733,0.9459,0.9595
0.9306,0.8951,0.9262,0.9262,0.9262,0.9221,0.9114,0.9396,0.9595,0.9262,0.9459,0.9467
0.9014,0.8414,0.8649,0.8951,0.875,0.8919,0.8961,0.9116,0.8732,0.9315,0.9315,0.9178
0.9128,0.8805,0.8875,0.9067,0.9281,0.9103,0.8987,0.9221,0.9459,0.9333,0.9524,0.9342
0.9078,0.9103,0.9103,0.8986,0.8936,0.9315,0.9262,0.9241,0.9167,0.9306,0.9091,0.9517
0.9388,0.9281,0.9114,0.9517,0.9517,0.9419,0.9404,0.9459,0.9178,0.9459,0.9379,0.9517
0.9231,0.9067,0.8947,0.8951,0.8966,0.9139,0.8961,0.9379,0.9444,0.9379,0.9577,0.951
0.8936,0.8758,0.9241,0.9007,0.9041,0.9114,0.9068,0.9211,0.9324,0.9333,0.9324,0.9155
0.8966,0.8931,0.8718,0.9116,0.9041,0.9114,0.8974,0.9342,0.9404,0.9342,0.9189,0.9281
0.9396,0.898,0.8947,0.9333,0.9404,0.9281,0.8987,0.9404,0.9467,0.9396,0.9404,0.9467
0.9231,0.9103,0.9079,0.9404,0.9041,0.9221,0.9367,0.9333,0.9664,0.9452,0.9467,0.9396
0.9371,0.92,0.9139,0.9452,0.9388,0.9419,0.9103,0.9262,0.9388,0.9404,0.9459,0.9595
0.951,0.8784,0.9007,0.9014,0.9118,0.9324,0.9116,0.9504,0.9078,0.9577,0.9353,0.9353
0.922,0.8816,0.8767,0.9078,0.8873,0.8919,0.929,0.9388,0.9371,0.9437,0.9589,0.965
0.8889,0.863,0.9007,0.9007,0.8951,0.9272,0.9221,0.92,0.9252,0.9371,0.9231,0.9452
0.9116,0.8701,0.8774,0.9041,0.8784,0.8974,0.8889,0.92,0.898,0.9333,0.9595,0.9396
0.8533,0.8312,0.8645,0.8649,0.8667,0.8718,0.8805,0.8742,0.9041,0.8933,0.9067,0.8627
0.9116,0.8667,0.902,0.9324,0.9252,0.9396,0.9299,0.9324,0.953,0.9396,0.9459,0.9524
0.8828,0.8774,0.8205,0.9014,0.863,0.8874,0.8662,0.9128,0.9296,0.9231,0.9371,0.9189
0.92,0.9474,0.915,0.9474,0.9262,0.9673,0.9308,0.9669,0.9459,0.9412,0.9396,0.96
0.8451,0.8649,0.8592,0.8714,0.8732,0.8919,0.8859,0.9178,0.9371,0.8951,0.8794,0.9014
0.9306,0.9189,0.9007,0.9324,0.9178,0.9281,0.9351,0.9324,0.9452,0.953,0.953,0.9379
0.8919,0.8649,0.8718,0.8947,0.8784,0.902,0.9032,0.9007,0.9067,0.915,0.902,0.9079
0.9306,0.8859,0.8947,0.9139,0.9041,0.9333,0.9032,0.92,0.9231,0.9589,0.9241,0.9379
0.9065,0.9054,0.9189,0.9167,0.9306,0.9404,0.9412,0.9589,0.9452,0.973,0.96,0.9524
0.9155,0.9178,0.9189,0.9116,0.9252,0.9272,0.9211,0.9388,0.9452,0.9296,0.9189,0.9014
0.9128,0.92,0.8917,0.9324,0.8993,0.9231,0.9172,0.9404,0.9404,0.9467,0.9467,0.9536
0.8966,0.9161,0.9045,0.8828,0.8919,0.9091,0.9103,0.9333,0.9324,0.9324,0.9178,0.9351
0.9041,0.9161,0.9272,0.953,0.9324,0.9548,0.9419,0.9536,0.9333,0.9404,0.9536,0.9589
0.8933,0.8784,0.9221,0.9091,0.9128,0.9114,0.925,0.915,0.9079,0.9281,0.9272,0.9412
0.9067,0.8462,0.8679,0.8742,0.8947,0.8765,0.8834,0.9032,0.9091,0.9079,0.8947,0.9091
0.9379,0.8857,0.9252,0.9209,0.9155,0.9178,0.9211,0.9589,0.9583,0.951,0.9583,0.965
0.9041,0.9041,0.9139,0.9371,0.9189,0.9252,0.9079,0.9315,0.9371,0.9444,0.9167,0.9517
0.8472,0.8456,0.8903,0.8667,0.863,0.8919,0.8846,0.8993,0.8742,0.8844,0.9103,0.9167
0.9444,0.8889,0.9324,0.9388,0.9452,0.9231,0.9068,0.9221,0.9333,0.9315,0.9459,0.9467
0.9065,0.9116,0.9281,0.9517,0.9371,0.9467,0.9474,0.9396,0.9452,0.9726,0.9315,0.9517
0.9306,0.8874,0.9091,0.9388,0.9241,0.9396,0.9396,0.9379,0.9722,0.9388,0.9371,0.9595
0.9155,0.9128,0.9079,0.9371,0.9324,0.9272,0.8974,0.9379,0.9452,0.9444,0.9371,0.9296
0.9054,0.8834,0.8875,0.902,0.8767,0.8917,0.8987,0.915,0.8725,0.9139,0.8993,0.9262
0.9404,0.9241,0.9221,0.9161,0.9542,0.9494,0.9427,0.9481,0.9481,0.9677,0.9677,0.9804
0.8767,0.8758,0.8889,0.8933,0.9067,0.9139,0.9045,0.9211,0.9388,0.9315,0.9388,0.9324
0.953,0.9467,0.92,0.9241,0.9589,0.9467,0.961,0.9595,0.9524,0.9437,0.9655,0.9452
0.8961,0.902,0.8987,0.9333,0.8961,0.9172,0.9114,0.9231,0.9211,0.9474,0.9333,0.9333
0.8904,0.875,0.9007,0.9241,0.8966,0.8774,0.8553,0.9007,0.9028,0.9189,0.9589,0.9272
0.9,0.8816,0.8947,0.8633,0.8611,0.9079,0.9161,0.9324,0.9379,0.9252,0.9315,0.9178
0.9155,0.9324,0.9128,0.9241,0.9091,0.92,0.8961,0.9379,0.9371,0.9524,0.9583,0.9371
0.9167,0.84,0.8933,0.9028,0.898,0.9139,0.9091,0.9324,0.9028,0.9324,0.9262,0.9262
0.9296,0.8919,0.8933,0.9231,0.913,0.9272,0.9139,0.9155,0.9306,0.9444,0.9655,0.9524
0.9379,0.9241,0.92,0.9241,0.9178,0.9324,0.8903,0.9324,0.9315,0.9324,0.9252,0.9396
0.9091,0.9041,0.8816,0.8993,0.8966,0.8933,0.902,0.9388,0.9078,0.9379,0.9262,0.9091
0.9296,0.9067,0.9028,0.9091,0.9371,0.9459,0.9272,0.9452,0.9231,0.9517,0.9065,0.9306
0.9078,0.8571,0.8961,0.9396,0.9116,0.9351,0.9419,0.96,0.9524,0.9467,0.966,0.9452
0.8966,0.8645,0.8889,0.8784,0.9067,0.9103,0.8875,0.9211,0.92,0.9079,0.9189,0.9404
0.8592,0.8961,0.8774,0.9342,0.8889,0.9007,0.8846,0.9189,0.9128,0.9333,0.92,0.9103
0.9143,0.8933,0.8609,0.9014,0.9167,0.8919,0.8816,0.9041,0.9091,0.9306,0.9155,0.9517
0.966,0.9396,0.9281,0.9733,0.9452,0.9542,0.9419,0.96,0.9737,0.9524,0.9536,0.9733
0.8873,0.8667,0.8627,0.8951,0.8684,0.8903,0.8662,0.8947,0.9103,0.9028,0.9388,0.9315
0.9459,0.9221,0.9103,0.9379,0.9536,0.9299,0.9299,0.9605,0.9404,0.96,0.96,0.9459
0.9315,0.9128,0.9161,0.9324,0.9128,0.9221,0.9221,0.953,0.9324,0.92,0.9333,0.9324
0.9241,0.8649,0.8645,0.8936,0.8811,0.9404,0.9281,0.9324,0.9437,0.951,0.9437,0.9589
0.9155,0.8758,0.9342,0.92,0.9241,0.9351,0.9231,0.9467,0.973,0.953,0.973,0.9655
0.898,0.8627,0.9091,0.9178,0.9315,0.9221,0.8974,0.9211,0.9272,0.9272,0.9467,0.9524
0.9524,0.8571,0.8933,0.9262,0.9252,0.9281,0.9182,0.96,0.9379,0.9189,0.9252,0.9589
0.9,0.8299,0.8609,0.8732,0.8732,0.869,0.8844,0.8794,0.9041,0.8889,0.9241,0.9091
0.9231,0.8742,0.8947,0.9241,0.9091,0.9079,0.9139,0.9444,0.9517,0.951,0.9452,0.9444
0.8777,0.8993,0.8844,0.8951,0.8732,0.9333,0.9342,0.9116,0.9065,0.9143,0.9065,0.922
0.9167,0.9091,0.8571,0.9014,0.9167,0.9252,0.92,0.9167,0.9091,0.9379,0.9252,0.9315
0.9167,0.8514,0.8627,0.8904,0.9091,0.9054,0.9091,0.9252,0.8951,0.9167,0.9315,0.9116
0.898,0.9467,0.9359,0.9404,0.9272,0.9103,0.9,0.9281,0.953,0.9412,0.9524,0.9272
0.9315,0.8831,0.9091,0.8844,0.92,0.929,0.925,0.9467,0.9379,0.9583,0.9178,0.9452
0.902,0.8805,0.8642,0.9067,0.9007,0.902,0.8861,0.9079,0.8933,0.8966,0.8816,0.8993
0.9371,0.9067,0.9161,0.9189,0.9252,0.9139,0.9221,0.9252,0.9388,0.9306,0.951,0.9452
0.8921,0.8919,0.8451,0.8613,0.8467,0.9065,0.8767,0.9143,0.8857,0.8889,0.9065,0.8936
0.9252,0.8919,0.9007,0.9178,0.915,0.9342,0.9412,0.9595,0.9241,0.9306,0.9379,0.9444
0.9286,0.9,0.9296,0.9444,0.9286,0.953,0.96,0.9796,0.9296,0.9595,0.9577,0.9524
0.8467,0.8725,0.8933,0.8571,0.8794,0.9054,0.8742,0.8936,0.9,0.9078,0.9167,0.913
0.8993,0.8889,0.9161,0.9079,0.9324,0.9172,0.9193,0.9281,0.9272,0.9333,0.9474,0.9211
0.9155,0.8227,0.8933,0.8759,0.8841,0.9028,0.8889,0.9091,0.9231,0.9241,0.9452,0.9167
0.9241,0.9333,0.8974,0.9669,0.9536,0.9299,0.9172,0.9333,0.9459,0.96,0.953,0.9452
0.9286,0.9241,0.9388,0.9296,0.9444,0.966,0.96,0.9444,0.951,0.9524,0.9517,0.973
0.9241,0.9252,0.92,0.9281,0.9324,0.9281,0.9412,0.9324,0.9467,0.9467,0.9459,0.9467
0.875,0.9178,0.8435,0.8889,0.8671,0.8961,0.8662,0.8993,0.9041,0.8993,0.9128,0.869
0.8676,0.8408,0.8679,0.9167,0.9014,0.902,0.9103,0.9589,0.9091,0.9459,0.9252,0.9262
0.9143,0.9103,0.9014,0.8966,0.9091,0.9189,0.9467,0.9452,0.9444,0.9379,0.9306,0.9371
0.8889,0.8493,0.8435,0.8611,0.8531,0.88,0.902,0.8844,0.8904,0.8794,0.8966,0.875
0.9128,0.8874,0.8987,0.9262,0.8874,0.9091,0.9172,0.9139,0.9252,0.9396,0.9388,0.9524
0.9315,0.8831,0.8861,0.92,0.92,0.9281,0.9032,0.9342,0.9306,0.9324,0.9595,0.9189
0.9103,0.8707,0.8707,0.8369,0.8511,0.8816,0.8734,0.8859,0.9041,0.9067,0.9189,0.9116
0.9262,0.902,0.9057,0.8904,0.9333,0.9481,0.9427,0.96,0.9467,0.9388,0.9252,0.9324
0.9388,0.9474,0.9128,0.9324,0.9388,0.9211,0.9359,0.953,0.9379,0.9517,0.9396,0.9167
0.9078,0.9067,0.9396,0.9178,0.8794,0.9007,0.9182,0.9178,0.9324,0.9444,0.9231,0.9444
0.9054,0.8718,0.8571,0.8627,0.8591,0.8917,0.8765,0.8947,0.8933,0.9067,0.92,0.9333
0.9371,0.9452,0.9333,0.9589,0.9103,0.9272,0.9467,0.9444,0.951,0.9517,0.9396,0.9583
0.8889,0.8831,0.9178,0.8951,0.9241,0.9324,0.9272,0.9396,0.9306,0.9379,0.9595,0.9315
0.8794,0.8676,0.8873,0.8732,0.8649,0.8649,0.8645,0.8767,0.8889,0.9231,0.9065,0.8936
0.9014,0.8645,0.9079,0.9262,0.9054,0.9333,0.9211,0.9262,0.9388,0.9178,0.9467,0.9524
0.8993,0.8993,0.8831,0.9189,0.9054,0.8974,0.9057,0.9262,0.9379,0.9189,0.9459,0.9241
0.9155,0.9241,0.9444,0.9231,0.9286,0.9459,0.9272,0.9583,0.9589,0.9379,0.9452,0.96
0.9155,0.8933,0.902,0.9333,0.9054,0.9342,0.9367,0.953,0.9524,0.9669,0.9801,0.953
0.9139,0.8571,0.8903,0.8903,0.8889,0.8931,0.8875,0.8987,0.9262,0.9396,0.9272,0.9404
0.8806,0.9524,0.9231,0.9051,0.922,0.9444,0.9452,0.9286,0.9143,0.9143,0.9209,0.9296
0.8966,0.869,0.8611,0.8794,0.88,0.8784,0.8961,0.9091,0.8857,0.9014,0.922,0.9078
0.9589,0.9252,0.8816,0.9178,0.9388,0.9221,0.9231,0.9342,0.9452,0.9262,0.9467,0.9324
0.9078,0.8874,0.8874,0.8873,0.9091,0.9211,0.8917,0.9379,0.9091,0.9583,0.9577,0.9371
0.9091,0.8993,0.8859,0.9028,0.8966,0.9262,0.9272,0.9189,0.9155,0.9379,0.9167,0.9231
0.898,0.8456,0.8828,0.8904,0.9041,0.9007,0.902,0.8933,0.8919,0.8966,0.8919,0.898
0.9139,0.879,0.882,0.9189,0.9091,0.9367,0.9172,0.9161,0.9342,0.9467,0.9079,0.9221
0.9379,0.863,0.8758,0.8919,0.8828,0.8933,0.8903,0.9054,0.9315,0.9296,0.9315,0.9252
0.9241,0.9128,0.9032,0.9,0.9178,0.9189,0.9396,0.9524,0.9143,0.9444,0.922,0.9437
0.9324,0.9007,0.8917,0.9091,0.8904,0.9281,0.9091,0.9342,0.9054,0.8993,0.9128,0.9262
0.863,0.8205,0.825,0.8194,0.8667,0.8608,0.8447,0.8774,0.898,0.8904,0.898,0.8919
0.9722,0.9324,0.9388,0.9452,0.9517,0.96,0.9474,0.966,0.9655,0.9583,0.9655,0.9589
0.8841,0.8859,0.8725,0.8873,0.8921,0.9116,0.9139,0.9379,0.9452,0.9379,0.9306,0.922
0.9054,0.8553,0.9139,0.9231,0.9067,0.902,0.9091,0.9139,0.9155,0.9315,0.9459,0.9388
0.9388,0.8831,0.8627,0.9167,0.8933,0.929,0.9359,0.9281,0.9595,0.953,0.9396,0.9388
0.8696,0.9041,0.9067,0.9231,0.9014,0.9404,0.9342,0.9536,0.9388,0.9459,0.9467,0.9396
0.9067,0.8961,0.879,0.9542,0.915,0.929,0.9299,0.9412,0.96,0.9412,0.9481,0.9404
0.9524,0.9091,0.9211,0.9589,0.9388,0.9412,0.9299,0.96,0.9324,0.9459,0.9595,0.9452
0.8857,0.8707,0.9007,0.9067,0.8794,0.9189,0.8889,0.9241,0.9091,0.92,0.9324,0.9388
0.8986,0.8707,0.8552,0.8261,0.8951,0.9116,0.902,0.9155,0.9143,0.9362,0.9231,0.9143
0.9167,0.902,0.8974,0.9324,0.9452,0.9342,0.9103,0.9404,0.9315,0.9595,0.9467,0.9396
0.8531,0.8725,0.8552,0.8592,0.8767,0.8816,0.8645,0.8919,0.8889,0.9379,0.9459,0.9155
0.9333,0.9091,0.8931,0.9536,0.9388,0.9299,0.9299,0.9669,0.9664,0.9932,0.9933,0.9799
0.9103,0.8904,0.8933,0.9028,0.9262,0.9272,0.9221,0.9388,0.9467,0.9379,0.9167,0.96
0.9155,0.9333,0.8734,0.9178,0.9189,0.9333,0.9272,0.9324,0.9241,0.9252,0.9388,0.9379
0.9054,0.9467,0.9091,0.8933,0.8993,0.9221,0.9114,0.9139,0.9379,0.9388,0.9262,0.9467
0.9231,0.8828,0.9189,0.9231,0.9252,0.915,0.9172,0.9315,0.9315,0.9396,0.9178,0.9315
0.8921,0.8421,0.8516,0.8844,0.8904,0.9067,0.9139,0.9128,0.9167,0.9262,0.9324,0.8986
0.9167,0.9028,0.9211,0.9241,0.8889,0.9342,0.9231,0.9396,0.9595,0.9231,0.9306,0.9379
0.9517,0.8889,0.8903,0.9116,0.898,0.9091,0.8987,0.9324,0.9524,0.9444,0.953,0.9324
0.9054,0.8428,0.8961,0.9054,0.8933,0.902,0.9032,0.9262,0.9054,0.9396,0.9128,0.9324
0.8759,0.84,0.8212,0.8633,0.9103,0.8816,0.8758,0.8993,0.9116,0.9262,0.9444,0.9252
0.9306,0.9057,0.9182,0.9342,0.9342,0.9367,0.908,0.9342,0.9481,0.9481,0.961,0.9542
0.9444,0.9167,0.9007,0.9444,0.9306,0.9324,0.9211,0.9452,0.9583,0.9444,0.966,0.9444
0.9041,0.8667,0.9128,0.9041,0.9167,0.9139,0.902,0.9396,0.9116,0.9324,0.9379,0.9211
0.9118,0.9209,0.9103,0.9167,0.9306,0.9467,0.9474,0.9589,0.9371,0.9655,0.9362,0.9362
0.9379,0.9371,0.9128,0.9324,0.9517,0.9536,0.9474,0.9595,0.9452,0.9524,0.9583,0.9517
0.9241,0.902,0.9103,0.9396,0.9103,0.9542,0.929,0.9396,0.9396,0.9396,0.9396,0.9452
0.8951,0.8718,0.8947,0.875,0.8874,0.902,0.8917,0.8947,0.8951,0.9041,0.9028,0.9252
0.9178,0.9333,0.8889,0.9161,0.9128,0.9299,0.9182,0.9536,0.9333,0.9669,0.9333,0.9737
0.9103,0.8516,0.8608,0.8684,0.8859,0.8831,0.8931,0.9128,0.9054,0.9028,0.9116,0.92
0.8777,0.8767,0.9116,0.8611,0.8767,0.8859,0.8917,0.9103,0.9324,0.9103,0.9091,0.9315
0.8919,0.8553,0.8718,0.88,0.8456,0.8889,0.8718,0.8947,0.915,0.8993,0.915,0.9139
0.9396,0.9007,0.915,0.9459,0.9315,0.9262,0.9342,0.9444,0.9444,0.9524,0.9793,0.966
0.9178,0.9139,0.8553,0.9054,0.9189,0.9079,0.9172,0.92,0.9315,0.9178,0.9262,0.9262
0.9296,0.9032,0.9057,0.9388,0.922,0.9221,0.9221,0.9664,0.9459,0.9664,0.9272,0.973
0.9128,0.915,0.9045,0.8859,0.9272,0.9351,0.9114,0.9211,0.9388,0.953,0.9262,0.9404
0.922,0.922,0.9306,0.9388,0.9209,0.9315,0.9333,0.9517,0.9504,0.9655,0.9167,0.9379
0.9241,0.88,0.9103,0.9664,0.9167,0.9412,0.9615,0.9404,0.9315,0.9536,0.953,0.9324
0.8873,0.869,0.9067,0.8947,0.8889,0.915,0.9231,0.9333,0.9396,0.9388,0.9262,0.9252
0.9028,0.9007,0.9091,0.8667,0.9041,0.9114,0.8987,0.9404,0.9116,0.96,0.9655,0.973
0.9167,0.9079,0.9079,0.9189,0.9128,0.9211,0.9091,0.9262,0.9467,0.9467,0.9459,0.96
