Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.7143,0.4068,0.4286,0.4068,0.7143,0.4068,0.4068,0.4068,0.75,0.4545,0.4364,0.6061
0.8824,0.4898,0.48,0.4898,0.8824,0.4898,0.48,0.4898,0.8889,0.7188,0.5946,0.6471
0.7143,0.431,0.431,0.431,0.6842,0.431,0.431,0.431,0.6818,0.5106,0.4528,0.5405
0.9167,0.5208,0.5102,0.5208,0.8462,0.5208,0.5208,0.5208,0.7778,0.6667,0.7143,0.8077
0.75,0.4545,0.463,0.4545,0.7,0.4545,0.4386,0.4545,0.8095,0.5833,0.5,0.5526
0.7857,0.4286,0.4286,0.4286,0.8,0.4286,0.4286,0.4286,0.7647,0.6129,0.4762,0.5667
0.8182,0.4706,0.48,0.4706,0.8,0.48,0.48,0.48,0.6842,0.6176,0.5217,0.6333
0.9231,0.4,0.3934,0.4,0.9231,0.4,0.3934,0.4,0.9286,0.5526,0.4706,0.4667
0.8571,0.5217,0.5333,0.525,0.8571,0.5217,0.5217,0.525,0.75,0.6571,0.6154,0.7407
0.7,0.4444,0.4364,0.4444,0.875,0.4444,0.4364,0.4444,0.875,0.6563,0.5,0.5938
0.8,0.3934,0.3934,0.3934,0.8571,0.4,0.3934,0.3934,0.8462,0.4595,0.4375,0.3684
0.7895,0.4386,0.4545,0.4386,0.8,0.4386,0.4386,0.4386,0.8235,0.6,0.5208,0.697
0.6667,0.4032,0.4032,0.4032,0.6667,0.4032,0.4032,0.4032,0.7368,0.5217,0.431,0.4528
0.75,0.5,0.5102,0.5102,0.7857,0.5102,0.5102,0.5102,0.7273,0.5676,0.55,0.7333
0.75,0.48,0.4706,0.4706,0.9,0.48,0.4706,0.4706,0.7857,0.5333,0.6286,0.6923
0.8889,0.4615,0.4444,0.4615,0.8824,0.4615,0.4444,0.4615,0.6667,0.5111,0.5,0.525
0.8,0.46,0.451,0.4667,0.8125,0.4706,0.46,0.4667,0.7273,0.5484,0.5833,0.6176
0.875,0.4286,0.4211,0.4286,0.8889,0.4286,0.4211,0.4286,0.6923,0.5385,0.4545,0.6786
0.75,0.4444,0.4364,0.4444,0.6667,0.4444,0.4444,0.4444,0.75,0.6,0.5263,0.6364
0.75,0.4615,0.4706,0.4615,0.75,0.4615,0.4706,0.4615,0.8235,0.6667,0.5116,0.55
0.8,0.4528,0.4444,0.4528,0.8235,0.4528,0.4528,0.4528,0.8235,0.6667,0.4898,0.6471
0.7143,0.463,0.4545,0.463,0.8,0.463,0.463,0.463,0.75,0.5676,0.4898,0.6216
0.75,0.4423,0.4545,0.4423,0.8,0.4423,0.463,0.4423,0.7895,0.5806,0.5122,0.5862
0.75,0.4167,0.4098,0.4167,0.8333,0.4167,0.4098,0.4167,0.8235,0.4706,0.4902,0.5714
0.8571,0.4211,0.4211,0.4211,0.875,0.4211,0.4211,0.4211,0.875,0.6563,0.449,0.5385
0.7857,0.5333,0.5217,0.5217,0.8125,0.5333,0.5227,0.5333,0.75,0.6061,0.5217,0.6429
0.9231,0.4528,0.4615,0.4528,0.7647,0.4528,0.4364,0.4528,0.8,0.5581,0.5,0.7
0.7368,0.4138,0.4211,0.4068,0.7,0.4138,0.4211,0.4068,0.6818,0.5556,0.4444,0.5349
0.7059,0.4528,0.4444,0.4528,0.7222,0.4528,0.4364,0.4528,0.7727,0.5111,0.4783,0.5714
0.7333,0.4444,0.4364,0.4444,0.8667,0.4444,0.4444,0.4444,0.8667,0.5238,0.5,0.4694
0.9,0.4898,0.48,0.48,0.9167,0.48,0.48,0.48,0.7273,0.75,0.6216,0.6667
0.8333,0.4444,0.4259,0.4444,0.9375,0.4444,0.4444,0.4444,0.7857,0.6176,0.5641,0.5263
0.5833,0.4545,0.463,0.4545,0.6,0.4464,0.4545,0.4464,0.7059,0.5676,0.463,0.5
0.5333,0.3472,0.3472,0.3472,0.7059,0.3472,0.3472,0.3472,0.6,0.4,0.3788,0.5128
0.7857,0.4717,0.4717,0.4717,0.7857,0.4717,0.4545,0.4717,0.8421,0.5238,0.5333,0.6
1.0,0.4898,0.4706,0.4898,1.0,0.4898,0.4706,0.4898,0.8824,0.6207,0.4583,0.6667
0.7857,0.5,0.4898,0.5,0.8125,0.5,0.5,0.5,0.8,0.6154,0.5116,0.625
0.9,0.5,0.4898,0.5,0.9,0.5,0.5,0.5,0.95,0.6316,0.6111,0.6111
0.75,0.4444,0.4444,0.4444,0.8182,0.4444,0.4444,0.4444,0.7273,0.6389,0.4894,0.5897
0.7273,0.4528,0.4528,0.4528,0.6923,0.4528,0.4528,0.4528,0.6875,0.6176,0.4375,0.5106
0.7857,0.4615,0.4615,0.4615,0.8,0.4615,0.4615,0.4615,0.8889,0.6061,0.5476,0.5938
1.0,0.4286,0.4138,0.4364,1.0,0.4364,0.4286,0.4364,1.0,0.4894,0.5111,0.4423
0.7368,0.4032,0.3968,0.3962,0.7895,0.4032,0.4032,0.3962,0.7895,0.5349,0.4808,0.4717
0.7273,0.5556,0.5556,0.5556,0.75,0.5556,0.5435,0.5556,0.8235,0.6552,0.6486,0.7059
0.75,0.5,0.4902,0.5,0.7692,0.5,0.5,0.5,0.7143,0.6286,0.5102,0.6316
1.0,0.4615,0.4528,0.4615,1.0,0.4615,0.4615,0.4615,1.0,0.5938,0.5556,0.6154
0.7143,0.4444,0.4444,0.4444,0.75,0.4444,0.4444,0.4444,0.8182,0.5897,0.5526,0.55
0.9286,0.5217,0.5217,0.5217,0.9333,0.5217,0.5106,0.5217,0.8824,0.6563,0.6053,0.6
0.7333,0.4286,0.4211,0.4423,0.75,0.4364,0.4286,0.4423,0.6957,0.5789,0.5217,0.6667
0.7,0.4211,0.4211,0.4211,0.7059,0.4211,0.4211,0.4211,0.6667,0.5938,0.4444,0.5588
0.8,0.3934,0.3934,0.3934,0.75,0.3934,0.3934,0.3934,0.6,0.4783,0.4528,0.6
0.7333,0.381,0.381,0.381,0.8,0.381,0.381,0.381,0.7333,0.4082,0.44,0.4857
0.7222,0.4032,0.4032,0.4032,0.75,0.4032,0.4032,0.4032,0.8333,0.4773,0.4167,0.5882
0.7,0.4894,0.4902,0.4894,0.75,0.4894,0.4902,0.4894,0.6842,0.5882,0.5366,0.5769
0.6111,0.463,0.4464,0.4545,0.6667,0.4545,0.4545,0.4545,0.6957,0.6053,0.451,0.6154
0.8182,0.4364,0.4364,0.4444,0.8333,0.4444,0.4444,0.4444,0.8125,0.4634,0.4706,0.5
0.8,0.5106,0.5106,0.5106,0.7273,0.5106,0.5106,0.5106,0.7857,0.6471,0.5476,0.6061
0.8462,0.4792,0.4792,0.4898,0.8667,0.4898,0.4898,0.4898,0.9474,0.72,0.5333,0.6667
1.0,0.5,0.4898,0.5,1.0,0.5,0.4898,0.4894,0.9375,0.5946,0.5227,0.6111
0.9286,0.4615,0.4528,0.4615,0.9333,0.4615,0.4528,0.4615,0.8,0.5588,0.4615,0.5938
0.8095,0.4138,0.4138,0.4138,0.8889,0.4138,0.4138,0.4138,0.8261,0.5227,0.4151,0.6765
0.6875,0.4444,0.4364,0.4444,0.8824,0.4444,0.4364,0.4444,0.7143,0.5556,0.4615,0.6552
0.625,0.5,0.5102,0.5102,0.625,0.5102,0.5102,0.5102,0.6842,0.5897,0.5405,0.6333
0.7,0.4032,0.3968,0.4032,0.7,0.4032,0.4032,0.4032,0.7778,0.7143,0.4286,0.5682
0.6923,0.4902,0.4898,0.4902,0.7857,0.5,0.5,0.5,0.7083,0.5476,0.5814,0.6216
0.6923,0.5106,0.5106,0.5106,0.75,0.5106,0.5106,0.5106,0.7826,0.6571,0.5333,0.6667
0.8125,0.4286,0.4286,0.4286,0.875,0.4286,0.4286,0.4286,0.8261,0.5227,0.5106,0.5455
0.8125,0.4,0.3934,0.4,0.8125,0.4,0.3934,0.4,0.8333,0.5641,0.451,0.5476
0.8571,0.4286,0.4286,0.451,0.8571,0.4286,0.4138,0.451,0.8333,0.6286,0.4583,0.5641
0.875,0.4444,0.4364,0.4364,0.8235,0.4364,0.4286,0.4364,0.8889,0.625,0.449,0.5833
0.875,0.5,0.48,0.5,0.9167,0.5,0.5,0.5,0.8333,0.6452,0.5526,0.6552
0.75,0.5,0.4898,0.5,0.7143,0.5,0.5,0.5,0.8,0.575,0.6486,0.5897
0.7059,0.4098,0.4032,0.4098,0.6842,0.4032,0.4098,0.4098,0.6842,0.4444,0.4902,0.6061
0.8182,0.5208,0.5106,0.5208,0.8333,0.5208,0.5106,0.5208,0.8571,0.6957,0.6563,0.4839
0.7333,0.3968,0.3968,0.3968,0.7692,0.3968,0.3968,0.3968,0.75,0.46,0.5238,0.5116
0.7857,0.4528,0.4528,0.4528,0.8333,0.4528,0.4528,0.4528,0.8125,0.6364,0.4615,0.5455
0.8,0.5106,0.4898,0.5106,0.9,0.5106,0.4898,0.5106,0.8421,0.5476,0.55,0.5366
0.7143,0.48,0.4706,0.48,0.7619,0.48,0.48,0.48,0.7895,0.5385,0.4898,0.6
0.7143,0.4706,0.4615,0.4615,0.7143,0.4615,0.4615,0.4615,0.8235,0.6875,0.5897,0.7097
0.7222,0.3934,0.3934,0.3934,0.7143,0.3934,0.3871,0.3934,0.7368,0.4889,0.4528,0.4583
0.8824,0.4444,0.4364,0.4444,0.8421,0.4444,0.4364,0.4444,0.8,0.561,0.5476,0.5227
0.8182,0.4615,0.4444,0.4615,0.9231,0.4615,0.4444,0.4615,0.8,0.6053,0.6216,0.7
0.7857,0.4098,0.4098,0.4098,0.7692,0.4098,0.4032,0.4098,0.8333,0.4878,0.4364,0.7083
0.7857,0.5,0.5,0.5102,0.8,0.5102,0.5102,0.5102,0.7647,0.7241,0.5952,0.7241
0.8333,0.4464,0.4386,0.4464,0.9286,0.4464,0.4464,0.4464,0.8,0.6286,0.5789,0.7241
0.8571,0.5581,0.5581,0.5581,0.8667,0.5581,0.5581,0.5581,0.875,0.6667,0.6486,0.6538
0.6471,0.4138,0.4,0.4138,0.75,0.4138,0.4068,0.4138,0.6154,0.5227,0.4211,0.4444
0.8,0.4211,0.4068,0.4211,0.7692,0.4211,0.4068,0.4211,0.7333,0.6552,0.4138,0.7037
0.75,0.4528,0.4444,0.4528,0.7333,0.4528,0.4528,0.4528,0.6667,0.5116,0.4615,0.6471
0.7,0.4211,0.4211,0.4211,0.8462,0.4211,0.4211,0.4211,0.7692,0.5588,0.4773,0.5938
0.8889,0.4706,0.4706,0.4706,0.8947,0.4615,0.4706,0.4706,0.8095,0.7059,0.5526,0.6286
0.8889,0.4545,0.4545,0.4545,0.8889,0.4545,0.4545,0.4545,0.8571,0.6667,0.4717,0.5581
0.7,0.5208,0.5102,0.5208,0.6364,0.5208,0.5,0.5208,0.75,0.6,0.5435,0.6667
0.8667,0.3968,0.3968,0.3968,0.875,0.3968,0.3968,0.3968,0.7368,0.625,0.4032,0.5
0.65,0.4068,0.4,0.4068,0.6818,0.4068,0.4068,0.4068,0.5556,0.5263,0.4528,0.5116
0.8182,0.4615,0.4444,0.4615,0.7333,0.4615,0.4444,0.4615,0.7857,0.5128,0.4118,0.5313
0.7222,0.4615,0.4615,0.4615,0.6842,0.4615,0.4615,0.4615,0.7647,0.6333,0.48,0.5938
0.8824,0.4364,0.4286,0.4364,0.8571,0.4364,0.4364,0.4364,0.7917,0.6563,0.4528,0.5588
0.9091,0.5714,0.5854,0.5714,0.8571,0.5714,0.5714,0.5714,0.8235,0.7,0.6667,0.6957
0.8889,0.48,0.48,0.48,0.9167,0.48,0.4528,0.48,0.75,0.5758,0.5476,0.5758
0.7895,0.3934,0.3833,0.3934,0.7727,0.3934,0.3833,0.3934,0.8095,0.5238,0.5,0.5333
0.6923,0.4211,0.4138,0.4138,0.7222,0.4138,0.4138,0.4138,0.7273,0.5714,0.6176,0.6471
0.7857,0.4808,0.4808,0.4808,0.8333,0.4808,0.4808,0.4808,0.8333,0.6667,0.4808,0.6471
0.75,0.4545,0.4545,0.4545,0.8333,0.4545,0.4545,0.4545,0.85,0.6,0.4884,0.6364
0.7273,0.5,0.4706,0.5102,0.7647,0.5102,0.48,0.5102,0.6875,0.561,0.5319,0.5122
0.9231,0.4364,0.4211,0.4364,0.9333,0.4364,0.4364,0.4364,0.95,0.6667,0.6,0.7857
0.6667,0.4364,0.4286,0.4364,0.6667,0.4364,0.4211,0.4364,0.6818,0.6061,0.449,0.6129
0.8333,0.4138,0.4211,0.4074,0.8,0.4138,0.4138,0.3922,0.9231,0.5294,0.4615,0.5238
0.9091,0.4528,0.4528,0.4528,1.0,0.4528,0.4528,0.4528,0.8889,0.4889,0.5455,0.6154
0.9,0.4615,0.4528,0.4528,0.8462,0.4615,0.4615,0.4528,0.8,0.5429,0.48,0.5806
0.7,0.48,0.48,0.48,0.7,0.48,0.48,0.48,0.7143,0.5476,0.5366,0.5385
0.6,0.4,0.4,0.4,0.7222,0.4,0.4,0.4,0.6087,0.5366,0.4762,0.5263
0.6364,0.3485,0.3676,0.3485,0.75,0.3485,0.3676,0.3485,0.75,0.4848,0.3906,0.5143
0.8,0.5208,0.5208,0.5208,0.8889,0.5208,0.5208,0.5208,0.7647,0.6286,0.5333,0.5938
0.72,0.3871,0.3871,0.4098,0.8889,0.4098,0.4,0.4098,0.7407,0.5405,0.4286,0.48
0.8462,0.4615,0.4898,0.4706,0.8462,0.4706,0.4706,0.4706,0.8421,0.5,0.5106,0.5641
0.6842,0.4528,0.4615,0.4615,0.7222,0.4615,0.4615,0.4615,0.7273,0.5882,0.5116,0.5833
0.9167,0.5217,0.5106,0.5217,0.9412,0.5217,0.5217,0.5217,0.85,0.6061,0.5455,0.7
1.0,0.48,0.4706,0.48,1.0,0.48,0.4706,0.48,0.9333,0.5862,0.44,0.5
0.6667,0.4706,0.4706,0.48,0.625,0.4706,0.4706,0.4348,0.7222,0.6667,0.6071,0.5806
0.9,0.48,0.48,0.48,0.8333,0.48,0.48,0.48,0.8889,0.6216,0.5897,0.5476
0.6875,0.4364,0.4138,0.4364,0.6667,0.4364,0.4211,0.4364,0.6875,0.425,0.42,0.45
0.9167,0.5,0.4808,0.5,0.9231,0.5,0.5,0.5,0.8571,0.6364,0.6053,0.5641
0.8182,0.4464,0.4464,0.4464,0.9231,0.4464,0.4464,0.4464,0.9412,0.6552,0.4808,0.7143
0.8421,0.5,0.5,0.4889,0.8333,0.5,0.5,0.5,0.8095,0.5476,0.5217,0.6216
0.5882,0.4444,0.4364,0.4364,0.619,0.4444,0.4444,0.4364,0.6667,0.475,0.5238,0.625
0.9091,0.4898,0.48,0.4898,0.8462,0.4898,0.4898,0.4898,0.8947,0.6563,0.5238,0.8077
0.8182,0.4528,0.4706,0.4528,0.8182,0.4528,0.4528,0.4528,0.8333,0.6154,0.525,0.5946
0.9091,0.4706,0.4615,0.4706,0.9333,0.4706,0.4615,0.4706,0.9286,0.561,0.5333,0.6897
0.8,0.4286,0.4182,0.4286,0.8667,0.4286,0.4182,0.4286,0.8421,0.55,0.4792,0.4889
0.65,0.375,0.3692,0.381,0.75,0.381,0.3692,0.381,0.7273,0.4545,0.4151,0.4884
0.875,0.4237,0.431,0.4237,0.7857,0.4138,0.4068,0.4237,0.8182,0.5814,0.4138,0.5897
0.875,0.431,0.4386,0.4386,1.0,0.4386,0.4386,0.4386,0.85,0.4894,0.4902,0.4792
0.6667,0.431,0.431,0.431,0.7059,0.431,0.431,0.431,0.7,0.5238,0.4667,0.6897
0.6667,0.4211,0.4038,0.4211,0.6842,0.4211,0.4211,0.4211,0.6818,0.5455,0.4865,0.5429
0.7059,0.4528,0.4528,0.4468,0.6842,0.4528,0.4528,0.4468,0.619,0.5116,0.48,0.5676
1.0,0.5714,0.5455,0.6,1.0,0.6,0.5714,0.6,1.0,0.6774,0.6667,0.7308
0.9167,0.4706,0.4706,0.4706,0.8667,0.4706,0.4706,0.4706,0.75,0.6,0.4694,0.5641
0.8,0.5217,0.5217,0.5217,0.8667,0.5217,0.5217,0.5217,0.7895,0.6286,0.5385,0.7143
0.7273,0.381,0.381,0.381,0.6667,0.381,0.381,0.381,0.7,0.4889,0.4068,0.4423
0.8462,0.4528,0.4444,0.4528,0.8571,0.4528,0.4444,0.4528,0.7368,0.4894,0.4444,0.5217
1.0,0.4286,0.4286,0.4286,1.0,0.4286,0.4286,0.4286,0.8462,0.6563,0.5263,0.475
0.8125,0.3906,0.371,0.4032,0.7647,0.4032,0.3906,0.4032,0.8333,0.575,0.5,0.6053
0.8333,0.431,0.4167,0.431,0.7895,0.431,0.4237,0.431,0.7826,0.5641,0.4528,0.5217
0.8,0.4423,0.4423,0.4423,0.8182,0.4423,0.463,0.4423,0.8,0.6071,0.4667,0.5758
0.8235,0.5217,0.5217,0.5116,0.8235,0.5217,0.5217,0.5116,0.8824,0.75,0.5122,0.8571
0.7778,0.5217,0.5217,0.5217,0.75,0.5217,0.5217,0.5217,0.6429,0.5588,0.5526,0.5676
0.75,0.5106,0.5,0.5227,0.75,0.5106,0.5106,0.5227,0.6957,0.6154,0.5581,0.5714
0.6364,0.3934,0.3934,0.4,0.7857,0.4,0.3934,0.4,0.6957,0.4615,0.4706,0.5476
0.6364,0.4138,0.4138,0.4138,0.6364,0.4138,0.4068,0.4138,0.6842,0.4688,0.4107,0.525
0.8235,0.4706,0.4792,0.48,0.7647,0.4898,0.4898,0.48,0.8235,0.6452,0.5,0.6061
1.0,0.48,0.48,0.48,1.0,0.48,0.48,0.48,0.9091,0.7241,0.6,0.7143
0.8333,0.5102,0.5,0.5102,0.8333,0.5102,0.5,0.5102,0.8,0.6,0.7241,0.6667
0.5625,0.4098,0.4032,0.4098,0.6471,0.4098,0.4032,0.4098,0.6111,0.5,0.463,0.5143
0.8667,0.4032,0.3846,0.4032,0.9286,0.4032,0.3906,0.4032,0.8667,0.6316,0.4386,0.5122
0.7143,0.4615,0.4706,0.4706,0.7857,0.4706,0.4706,0.4706,0.75,0.575,0.46,0.5556
0.7895,0.48,0.4694,0.48,0.875,0.4694,0.4694,0.48,0.7826,0.55,0.6,0.6286
0.6667,0.4444,0.4444,0.4444,0.7692,0.4444,0.4444,0.4444,0.7692,0.5116,0.5227,0.6154
0.6667,0.3934,0.3934,0.3934,0.6875,0.3934,0.3934,0.3934,0.75,0.4872,0.451,0.4884
0.7333,0.4706,0.4528,0.4615,0.7143,0.4615,0.4615,0.4615,0.8333,0.7667,0.5122,0.5946
0.9231,0.5106,0.5106,0.5106,0.8824,0.5106,0.5106,0.5106,0.8636,0.75,0.5946,0.7143
0.7273,0.4211,0.4138,0.4038,0.7857,0.4211,0.4211,0.4118,0.7857,0.5882,0.44,0.6
0.7273,0.4167,0.4167,0.4167,0.6875,0.4167,0.4032,0.4167,0.6,0.4762,0.4259,0.5641
0.6923,0.4545,0.4464,0.4545,0.75,0.4545,0.4464,0.4545,0.7692,0.561,0.5581,0.5476
0.8462,0.4717,0.4808,0.4717,0.875,0.4717,0.4545,0.4717,0.8667,0.6471,0.5897,0.5526
0.7857,0.4444,0.4444,0.4444,0.75,0.4444,0.4444,0.4444,0.8667,0.6389,0.5217,0.575
0.8125,0.5,0.4898,0.5,0.8824,0.5,0.5,0.5,0.85,0.7188,0.5333,0.75
0.8667,0.4,0.4,0.3725,0.9167,0.4,0.3898,0.3846,0.8667,0.5116,0.5,0.5
0.75,0.5106,0.5106,0.5106,0.75,0.5106,0.5106,0.5106,0.75,0.6111,0.6667,0.5806
0.7647,0.4444,0.4364,0.4444,0.8,0.4444,0.4364,0.4444,0.7778,0.5758,0.5366,0.7083
0.9231,0.4898,0.48,0.4898,0.8889,0.4898,0.48,0.4898,0.8095,0.7188,0.5897,0.5833
0.9,0.4898,0.5102,0.5,0.9231,0.5,0.4902,0.5,0.9412,0.7778,0.697,0.7308
0.8,0.5102,0.4898,0.5102,0.8,0.5102,0.5102,0.5102,0.6842,0.575,0.5789,0.5526
0.8235,0.3968,0.3968,0.3968,0.8,0.3968,0.3906,0.3968,0.8,0.431,0.4792,0.4286
0.9091,0.3934,0.3871,0.3934,0.7692,0.3934,0.3934,0.3934,0.8,0.4545,0.44,0.5556
0.7857,0.4706,0.4615,0.4706,0.7333,0.4706,0.4615,0.4706,0.7222,0.7188,0.7308,0.5278
0.7333,0.4444,0.4286,0.4444,0.7273,0.4444,0.4364,0.4444,0.7037,0.6053,0.4615,0.6216
1.0,0.5106,0.5106,0.5106,1.0,0.5106,0.5106,0.5106,0.9474,0.6,0.5676,0.7
0.7059,0.4138,0.4138,0.4138,0.7333,0.4138,0.4138,0.4138,0.6667,0.5278,0.4545,0.575
0.6364,0.5106,0.4898,0.5106,0.6364,0.5106,0.4898,0.5106,0.8235,0.625,0.5526,0.5882
0.6429,0.4211,0.4211,0.4211,0.7222,0.4211,0.4211,0.4211,0.7647,0.6333,0.4444,0.6
0.7143,0.4138,0.4138,0.4138,0.7059,0.4138,0.4138,0.4138,0.7222,0.4884,0.5641,0.5
0.8333,0.5102,0.5208,0.5102,0.8333,0.5102,0.5102,0.5102,0.6818,0.7097,0.5581,0.6
0.8421,0.4694,0.4902,0.4902,0.8636,0.4902,0.4808,0.4902,0.9048,0.5946,0.625,0.641
0.5714,0.4528,0.4464,0.463,0.5882,0.463,0.463,0.463,0.6471,0.5,0.5349,0.625
0.6,0.4444,0.4286,0.4364,0.6471,0.4444,0.4182,0.4364,0.72,0.5476,0.4894,0.5349
1.0,0.48,0.4706,0.48,1.0,0.48,0.48,0.48,0.9375,0.6176,0.5366,0.5946
0.7273,0.4068,0.4068,0.4182,0.8,0.4068,0.4068,0.3725,0.75,0.5588,0.5111,0.6
0.8667,0.4528,0.4528,0.4528,0.8571,0.4528,0.4528,0.4528,0.8421,0.6,0.5238,0.5349
0.8125,0.4138,0.4138,0.4138,0.9286,0.4138,0.4138,0.4138,0.8125,0.5676,0.5476,0.5526
1.0,0.48,0.4706,0.48,1.0,0.48,0.4706,0.48,1.0,0.561,0.4894,0.5833
1.0,0.4423,0.463,0.4545,1.0,0.4545,0.4545,0.4545,0.8947,0.5789,0.5,0.6333
0.7692,0.4902,0.4902,0.4902,0.7692,0.4902,0.463,0.4902,0.7647,0.5435,0.5208,0.5806
0.9167,0.5102,0.5102,0.5102,0.8667,0.5102,0.5102,0.5102,0.8095,0.7188,0.5682,0.7586
1.0,0.3898,0.3898,0.4,0.9333,0.4,0.3898,0.4,0.7391,0.5116,0.4138,0.434
0.6923,0.4364,0.4211,0.4364,0.6667,0.4364,0.4211,0.4364,0.7368,0.5333,0.4706,0.5217
0.7857,0.5,0.4898,0.5,0.7143,0.5,0.5,0.5,0.7143,0.5588,0.5897,0.6429
0.6842,0.3934,0.3871,0.4068,0.7778,0.4068,0.3934,0.4068,0.8182,0.6316,0.4615,0.561
0.9,0.4364,0.4444,0.4444,0.9091,0.4364,0.4444,0.4444,0.7727,0.5526,0.5526,0.625
0.7778,0.4615,0.4528,0.4615,0.7857,0.4615,0.4615,0.4615,0.7059,0.5714,0.4783,0.5526
0.5714,0.4444,0.4364,0.4364,0.6154,0.4444,0.4364,0.4364,0.6957,0.6667,0.5263,0.625
0.8,0.4444,0.4364,0.4444,0.875,0.4444,0.434,0.4444,0.85,0.5625,0.5238,0.5882
0.7778,0.4808,0.4808,0.4808,0.8571,0.4808,0.4808,0.4808,0.7619,0.6364,0.6129,0.6429
0.7857,0.4717,0.463,0.4717,0.8,0.4717,0.463,0.4717,0.8125,0.5227,0.6053,0.6667
0.5,0.4167,0.4167,0.4167,0.5833,0.4167,0.4167,0.4167,0.5714,0.4667,0.4444,0.5333
0.8182,0.4706,0.4286,0.4706,0.8667,0.4706,0.4444,0.4706,0.8571,0.75,0.6471,0.8095
0.8182,0.4138,0.4138,0.4138,0.7647,0.4138,0.4138,0.4138,0.9333,0.5476,0.5,0.575
0.8824,0.4528,0.4528,0.4615,0.8889,0.4615,0.4615,0.4615,0.8333,0.5854,0.5476,0.6667
0.6471,0.4138,0.4138,0.4138,0.6875,0.4138,0.4138,0.4138,0.5882,0.4667,0.44,0.5135
0.8333,0.5,0.4898,0.5,0.8333,0.5,0.5,0.5,0.8,0.6,0.6176,0.6563
0.8333,0.449,0.4706,0.449,0.8333,0.449,0.4706,0.449,0.7273,0.5526,0.5385,0.6
0.6875,0.4138,0.3934,0.4138,0.875,0.4138,0.4138,0.4138,0.7778,0.5938,0.5455,0.5143
1.0,0.4237,0.4237,0.4237,1.0,0.4237,0.4167,0.4237,0.8947,0.75,0.4717,0.7586
0.9091,0.5102,0.5,0.5102,0.9286,0.5102,0.5102,0.5102,0.8,0.6857,0.561,0.6571
0.7857,0.4464,0.4386,0.4464,0.8125,0.4464,0.4464,0.4464,0.8125,0.6,0.4808,0.8
0.625,0.4286,0.4211,0.4286,0.5833,0.4286,0.4211,0.4286,0.6087,0.5122,0.48,0.5122
0.8333,0.5,0.5,0.5,0.8824,0.5,0.4898,0.5,0.7619,0.6389,0.575,0.7586
0.8,0.4706,0.4615,0.4706,0.8235,0.4706,0.4706,0.4706,0.7778,0.7097,0.5366,0.625
0.7143,0.4615,0.451,0.4615,0.7692,0.4615,0.4615,0.4615,0.625,0.5676,0.5,0.5161
0.7,0.4706,0.4615,0.4706,0.8333,0.4706,0.4706,0.4706,0.8667,0.5128,0.5366,0.4865
0.75,0.4211,0.4138,0.4211,0.8,0.4211,0.4138,0.4211,0.7619,0.4889,0.4419,0.5526
0.8,0.375,0.3692,0.375,0.8,0.375,0.375,0.375,0.7857,0.5,0.4,0.434
0.8,0.4237,0.4237,0.4237,0.8462,0.4237,0.4237,0.4237,0.76,0.5455,0.6364,0.6563
0.8,0.5556,0.5435,0.5556,0.8333,0.5556,0.5435,0.5556,0.8333,0.6765,0.6053,0.7407
0.7692,0.431,0.431,0.431,0.7857,0.431,0.431,0.431,0.7647,0.5385,0.431,0.5455
0.5833,0.4286,0.4286,0.4286,0.7273,0.4286,0.4286,0.4286,0.6667,0.5676,0.575,0.5263
0.75,0.4364,0.4364,0.4364,0.8125,0.4364,0.4364,0.4364,0.7778,0.6667,0.449,0.6176
0.8889,0.4286,0.4,0.4286,0.9167,0.4286,0.4211,0.4286,0.9286,0.5806,0.5349,0.5116
0.8125,0.4528,0.4528,0.4528,0.8571,0.4528,0.4528,0.4528,0.8235,0.625,0.5349,0.5946
0.7222,0.5455,0.5581,0.5455,0.7,0.5581,0.5581,0.5581,0.7895,0.5526,0.5238,0.5833
0.9231,0.5,0.4894,0.5,0.8462,0.5,0.4894,0.5,0.9286,0.6765,0.5366,0.7143
0.7895,0.4211,0.4211,0.4211,0.7895,0.4211,0.4211,0.4211,0.8095,0.5641,0.5,0.5556
0.8182,0.4545,0.4717,0.4545,0.8182,0.4545,0.4545,0.4545,0.7692,0.7143,0.5217,0.6563
0.875,0.4717,0.4717,0.4717,0.875,0.4717,0.463,0.4717,0.9231,0.6774,0.5319,0.6216
0.8571,0.463,0.4545,0.463,0.8571,0.463,0.4545,0.463,0.85,0.5789,0.5581,0.5294
0.7143,0.4615,0.4423,0.4615,0.75,0.4615,0.4423,0.4615,0.7895,0.5714,0.4706,0.6316
0.6,0.4211,0.4211,0.4074,0.6154,0.4211,0.4211,0.4074,0.5714,0.4359,0.4783,0.5455
0.7143,0.48,0.4615,0.48,0.7692,0.48,0.4615,0.48,0.8125,0.575,0.5,0.5581
0.8462,0.4615,0.4706,0.4615,0.8462,0.4615,0.4615,0.4615,0.8667,0.55,0.4615,0.6774
0.875,0.4364,0.4364,0.4444,0.9,0.4444,0.4364,0.4444,0.8333,0.5263,0.6111,0.5122
0.6471,0.4444,0.4528,0.4528,0.75,0.4528,0.4528,0.4528,0.7,0.5349,0.575,0.5385
0.9,0.3934,0.3692,0.3934,0.8462,0.3934,0.381,0.3934,0.875,0.6563,0.5111,0.5349
