Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6667,0.7917,0.875,0.6667,0.75,0.7917,0.9583,0.7083,0.7083,0.75,0.7917,0.75
0.875,0.9583,1.0,0.7917,0.8333,0.9583,1.0,0.7917,0.7917,0.875,0.9167,0.6667
0.75,0.75,1.0,0.7083,0.625,0.7917,0.9583,0.7083,0.75,0.7083,0.7083,0.625
0.52,0.76,0.8,0.64,0.64,0.76,0.96,0.68,0.56,0.64,0.72,0.6
0.6,0.6,0.76,0.76,0.64,0.8,1.0,0.8,0.64,0.72,0.72,0.64
0.68,0.8,1.0,0.8,0.8,0.88,1.0,0.88,0.68,0.76,0.92,0.64
0.5,0.9167,1.0,0.7917,0.6667,0.9167,1.0,0.8333,0.75,0.8333,0.7917,0.8333
0.6667,0.75,1.0,0.7083,0.5833,0.875,1.0,0.7917,0.8333,0.6667,0.8333,0.7917
0.7917,0.9583,0.9583,0.75,0.5833,0.7917,1.0,0.7083,0.6667,0.7083,0.75,0.7083
0.7083,0.75,0.9167,0.625,0.625,0.7917,1.0,0.75,0.75,0.625,0.7917,0.625
0.5833,0.8333,0.9583,0.6667,0.75,0.875,1.0,0.7083,0.7917,0.75,0.8333,0.75
0.7083,0.7083,0.9167,0.75,0.7083,0.7917,1.0,0.7083,0.7917,0.7083,0.75,0.6667
0.375,0.625,1.0,0.4583,0.625,0.7917,1.0,0.5417,0.375,0.5833,0.75,0.5417
0.8,0.88,1.0,0.72,0.68,0.96,1.0,0.72,0.8,0.76,0.76,0.6
0.56,0.68,0.96,0.76,0.52,0.88,0.92,0.8,0.68,0.68,0.76,0.8
0.68,0.72,1.0,0.8,0.64,0.84,0.96,0.72,0.72,0.72,0.8,0.72
0.625,0.7917,0.9167,0.75,0.625,0.8333,1.0,0.7917,0.6667,0.75,0.7917,0.625
0.6667,0.875,0.9583,0.625,0.5,0.7083,0.9167,0.5833,0.7083,0.7083,0.7917,0.625
0.5833,0.7917,1.0,0.5833,0.6667,0.7917,1.0,0.625,0.6667,0.625,0.75,0.75
0.7917,0.7917,1.0,0.7083,0.75,0.875,1.0,0.75,0.7917,0.8333,0.875,0.8333
0.7917,0.875,1.0,0.9167,0.7917,0.875,1.0,0.9167,0.7083,0.7083,0.8333,0.75
0.625,0.9167,1.0,0.875,0.7083,0.8333,1.0,0.8333,0.6667,0.75,0.9583,0.75
0.5833,0.6667,1.0,0.7083,0.625,0.75,1.0,0.6667,0.625,0.6667,0.6667,0.6667
0.8,0.72,0.88,0.88,0.76,0.84,1.0,0.84,0.84,0.76,0.84,0.72
0.6,0.76,1.0,0.72,0.68,0.8,0.92,0.76,0.64,0.68,0.64,0.68
0.6,0.76,0.8,0.6,0.6,0.8,1.0,0.56,0.6,0.6,0.8,0.56
0.625,0.8333,1.0,0.75,0.7083,0.75,1.0,0.7917,0.5833,0.7083,0.625,0.6667
0.7917,0.8333,1.0,0.9167,0.7083,0.9167,1.0,0.8333,0.75,0.7917,0.8333,0.8333
0.625,0.875,0.9583,0.9167,0.8333,0.875,1.0,0.9167,0.8333,0.75,0.875,0.75
0.7083,0.75,0.875,0.75,0.625,0.8333,1.0,0.75,0.6667,0.5417,0.6667,0.5833
0.75,0.9167,1.0,0.625,0.6667,0.9583,1.0,0.7083,0.7917,0.875,0.9167,0.7083
0.4167,0.75,1.0,0.5833,0.4583,0.875,1.0,0.625,0.6667,0.7083,0.9167,0.7083
0.5417,0.6667,1.0,0.625,0.5,0.75,1.0,0.6667,0.7917,0.7083,0.625,0.6667
0.76,0.72,0.84,0.72,0.72,0.84,0.92,0.76,0.64,0.76,0.84,0.64
0.6,0.8,0.96,0.6,0.6,0.84,1.0,0.68,0.56,0.56,0.72,0.52
0.64,0.88,1.0,0.72,0.68,0.8,1.0,0.76,0.72,0.6,0.84,0.72
0.7917,0.7917,0.9583,0.75,0.7917,0.9583,1.0,0.7917,0.75,0.8333,0.9167,0.75
0.6667,0.875,1.0,0.7083,0.7083,0.8333,1.0,0.75,0.7083,0.625,0.7083,0.75
0.875,0.9583,0.9583,0.875,0.8333,0.9167,1.0,0.875,0.9167,0.9167,0.9167,0.9583
0.6667,0.875,1.0,0.8333,0.7917,0.9167,1.0,0.8333,0.7083,0.7083,0.8333,0.75
0.6667,0.7917,1.0,0.8333,0.7083,0.8333,1.0,0.8333,0.6667,0.5833,0.6667,0.75
0.75,0.9167,1.0,0.75,0.6667,0.9167,1.0,0.6667,0.75,0.7917,0.9167,0.7083
0.6667,0.7917,0.875,0.625,0.8333,0.8333,1.0,0.75,0.6667,0.6667,0.7083,0.7917
0.64,0.8,0.8,0.8,0.6,0.88,1.0,0.6,0.76,0.68,0.88,0.76
0.6,0.84,1.0,0.64,0.6,0.88,1.0,0.72,0.68,0.8,0.76,0.64
0.64,0.76,1.0,0.6,0.64,0.88,1.0,0.64,0.76,0.6,0.72,0.76
0.5417,0.8333,1.0,0.75,0.7083,0.75,1.0,0.75,0.6667,0.6667,0.75,0.625
0.75,0.875,1.0,0.7083,0.6667,0.875,1.0,0.75,0.7083,0.8333,0.875,0.625
0.5833,0.625,0.9583,0.75,0.6667,0.875,1.0,0.7083,0.7083,0.5833,0.8333,0.75
0.6667,0.8333,1.0,0.6667,0.7083,0.875,1.0,0.5833,0.7083,0.7917,0.875,0.7917
0.5,0.9167,0.875,0.6667,0.7083,0.8333,1.0,0.75,0.75,0.875,0.9167,0.6667
0.875,1.0,1.0,0.875,0.9167,0.9167,1.0,0.8333,0.7917,0.7917,0.8333,0.875
0.8333,0.875,1.0,0.75,0.7083,0.875,1.0,0.7917,0.75,0.9167,0.875,0.7917
0.6,0.8,0.76,0.56,0.64,0.76,1.0,0.52,0.64,0.64,0.76,0.68
0.68,0.84,1.0,0.72,0.8,0.88,1.0,0.84,0.8,0.76,0.8,0.76
0.68,0.8,0.8,0.64,0.68,0.84,0.96,0.76,0.72,0.68,0.8,0.8
0.7917,0.9167,1.0,0.7917,0.7917,0.9167,1.0,0.8333,0.7917,0.7917,0.9583,0.8333
0.6667,0.8333,1.0,0.7917,0.625,0.9167,1.0,0.875,0.6667,0.7083,0.875,0.6667
0.5417,0.75,0.9167,0.7083,0.6667,0.7083,0.9583,0.6667,0.5833,0.6667,0.75,0.625
0.5417,0.7917,1.0,0.75,0.6667,0.8333,0.9583,0.8333,0.5417,0.625,0.75,0.6667
0.7083,0.9167,0.9583,0.75,0.7083,0.9583,1.0,0.7917,0.75,0.75,0.9167,0.7917
0.6667,0.75,0.6667,0.5833,0.5833,0.75,1.0,0.625,0.6667,0.7083,0.6667,0.6667
0.7917,0.8333,1.0,0.7917,0.8333,0.8333,1.0,0.7917,0.7083,0.7083,0.75,0.7083
0.72,0.88,0.92,0.88,0.72,0.92,1.0,0.88,0.72,0.84,0.8,0.76
0.64,0.92,1.0,0.72,0.6,0.96,1.0,0.68,0.76,0.76,0.84,0.76
0.68,0.76,1.0,0.76,0.68,0.84,1.0,0.76,0.64,0.64,0.76,0.6
0.625,0.875,1.0,0.7917,0.6667,0.8333,0.9167,0.875,0.7917,0.75,0.8333,0.7917
0.5,0.7083,1.0,0.8333,0.5417,0.7917,1.0,0.8333,0.6667,0.5417,0.75,0.7083
0.625,0.7917,0.9167,0.7917,0.625,0.8333,1.0,0.6667,0.6667,0.625,0.7917,0.6667
0.625,0.7917,1.0,0.5833,0.625,0.7917,1.0,0.6667,0.6667,0.5833,0.5833,0.625
0.75,0.8333,0.9583,0.7917,0.7083,0.875,1.0,0.7917,0.75,0.9167,0.7917,0.875
0.7083,0.875,1.0,0.7083,0.7083,0.8333,0.9167,0.7083,0.75,0.6667,0.7083,0.75
0.7083,0.8333,1.0,0.75,0.7083,0.875,1.0,0.7917,0.7917,0.8333,0.8333,0.8333
0.68,0.68,1.0,0.64,0.6,0.64,1.0,0.68,0.52,0.48,0.64,0.56
0.44,0.72,1.0,0.48,0.44,0.76,1.0,0.6,0.52,0.64,0.68,0.68
0.8,0.8,1.0,0.76,0.64,0.8,1.0,0.72,0.68,0.72,0.72,0.68
0.75,0.875,1.0,0.8333,0.75,0.8333,1.0,0.75,0.8333,0.8333,0.75,0.8333
0.7083,0.7917,1.0,0.625,0.75,0.7917,1.0,0.625,0.7083,0.75,0.9583,0.75
0.5833,0.7917,0.875,0.7083,0.6667,0.7917,1.0,0.7083,0.7083,0.75,0.75,0.7083
0.375,0.75,0.875,0.625,0.625,0.75,0.9167,0.625,0.7083,0.625,0.7083,0.75
0.7083,0.7083,1.0,0.75,0.75,0.8333,1.0,0.7917,0.6667,0.5833,0.75,0.6667
0.625,0.8333,1.0,0.75,0.5417,0.8333,1.0,0.8333,0.7083,0.7083,0.7083,0.7917
0.7083,0.6667,0.9583,0.625,0.5833,0.75,1.0,0.6667,0.625,0.5833,0.7083,0.625
0.56,0.76,1.0,0.72,0.56,0.84,1.0,0.56,0.6,0.6,0.84,0.68
0.52,0.76,1.0,0.52,0.56,0.76,1.0,0.6,0.68,0.64,0.68,0.72
0.68,0.88,0.92,0.84,0.72,0.84,0.96,0.84,0.76,0.68,0.84,0.8
0.6667,0.7917,1.0,0.875,0.75,0.9583,1.0,0.875,0.75,0.7917,0.8333,0.7917
0.625,0.8333,1.0,0.7083,0.7917,0.875,0.9167,0.8333,0.75,0.5833,0.875,0.6667
0.7083,0.8333,0.875,0.6667,0.625,0.875,0.9583,0.6667,0.7917,0.5833,0.875,0.7917
0.5417,0.7917,1.0,0.6667,0.5833,0.8333,1.0,0.75,0.7083,0.625,0.7083,0.5833
0.8333,0.8333,1.0,0.7917,0.75,0.875,1.0,0.75,0.625,0.7083,0.7917,0.6667
0.6667,0.75,0.8333,0.625,0.6667,0.7917,1.0,0.6667,0.7083,0.6667,0.6667,0.625
0.5417,0.875,0.625,0.6667,0.5833,0.75,0.9167,0.6667,0.7083,0.6667,0.6667,0.6667
0.64,0.76,0.88,0.72,0.64,0.72,1.0,0.76,0.64,0.64,0.76,0.64
0.8,0.88,1.0,0.8,0.8,0.88,1.0,0.88,0.8,0.76,0.88,0.88
0.72,0.92,0.92,0.68,0.76,0.96,1.0,0.76,0.8,0.68,0.84,0.8
0.5417,0.8333,1.0,0.7083,0.625,0.8333,1.0,0.7083,0.6667,0.6667,0.75,0.6667
0.8333,0.9167,1.0,0.7917,0.8333,0.9167,1.0,0.7917,0.8333,0.875,0.8333,0.875
0.6667,0.875,0.8333,0.6667,0.7083,0.8333,0.9583,0.6667,0.6667,0.7917,0.7083,0.7083
0.4583,0.5833,1.0,0.625,0.5,0.5833,0.9583,0.625,0.4583,0.5,0.5833,0.5
0.7917,0.8333,1.0,0.75,0.7083,0.8333,1.0,0.6667,0.625,0.7917,0.7917,0.6667
0.75,0.875,0.9167,0.7083,0.7917,0.9583,1.0,0.75,0.7917,0.875,0.9583,0.7917
0.75,0.8333,1.0,0.75,0.75,0.875,1.0,0.7917,0.5833,0.5833,0.75,0.5417
0.56,0.92,1.0,0.68,0.68,0.88,1.0,0.84,0.72,0.76,0.76,0.8
0.72,0.76,0.8,0.68,0.64,0.8,0.88,0.72,0.8,0.72,0.68,0.68
0.84,0.92,1.0,0.84,0.84,0.92,1.0,0.8,0.8,0.8,0.84,0.76
0.625,0.7083,1.0,0.875,0.7083,0.9583,1.0,0.8333,0.6667,0.5417,0.625,0.6667
0.4583,0.75,1.0,0.625,0.625,0.7917,1.0,0.7917,0.6667,0.7083,0.8333,0.7083
0.7083,0.7917,0.8333,0.6667,0.5417,0.8333,1.0,0.7083,0.7083,0.625,0.5417,0.7083
0.625,0.7917,1.0,0.6667,0.625,0.8333,1.0,0.75,0.6667,0.6667,0.75,0.625
0.75,0.7917,0.7917,0.6667,0.7083,0.75,1.0,0.6667,0.7083,0.7083,0.7917,0.75
0.4583,0.8333,1.0,0.5833,0.5833,0.8333,1.0,0.5833,0.6667,0.7083,0.8333,0.7917
0.5417,0.6667,0.75,0.6667,0.6667,0.7917,1.0,0.7083,0.7083,0.6667,0.625,0.625
0.68,0.76,0.96,0.64,0.68,0.76,1.0,0.64,0.68,0.68,0.72,0.72
0.6,0.76,0.76,0.72,0.64,0.72,0.96,0.72,0.68,0.6,0.6,0.68
0.48,0.72,0.72,0.68,0.56,0.72,1.0,0.6,0.64,0.6,0.8,0.68
0.6667,0.8333,0.8333,0.9167,0.625,0.875,0.9583,0.875,0.7083,0.7083,0.6667,0.6667
0.75,0.875,1.0,0.7083,0.8333,0.9167,1.0,0.7917,0.7917,0.8333,0.9167,0.75
0.625,0.8333,1.0,0.6667,0.625,0.8333,1.0,0.625,0.6667,0.5833,0.6667,0.8333
0.9167,0.875,0.8333,0.8333,0.7917,0.9167,1.0,0.7917,0.7917,0.75,0.7917,0.7083
0.6667,0.9583,1.0,0.8333,0.75,0.9167,1.0,0.8333,0.875,0.75,0.75,0.8333
0.7917,0.875,0.9583,0.875,0.75,0.9167,1.0,0.75,0.8333,0.7917,0.8333,0.7083
0.7083,0.75,1.0,0.75,0.7083,0.8333,1.0,0.8333,0.7083,0.75,0.9167,0.75
0.64,0.8,0.76,0.72,0.6,0.8,1.0,0.76,0.8,0.72,0.8,0.64
0.68,0.88,1.0,0.8,0.68,0.92,1.0,0.84,0.68,0.8,0.84,0.72
0.64,0.72,1.0,0.72,0.56,0.8,1.0,0.72,0.68,0.64,0.76,0.84
0.6667,0.9167,0.9583,0.7083,0.8333,1.0,1.0,0.75,0.8333,0.75,0.8333,0.7083
0.8333,0.7917,1.0,0.7917,0.75,0.7917,0.9583,0.75,0.6667,0.75,0.7917,0.6667
0.625,0.8333,1.0,0.7917,0.625,0.75,1.0,0.7917,0.6667,0.7917,0.7083,0.75
0.625,0.8333,0.9167,0.7917,0.7083,0.8333,1.0,0.7917,0.625,0.7083,0.7083,0.7083
0.75,0.8333,1.0,0.625,0.5833,0.7083,1.0,0.625,0.75,0.7083,0.7917,0.7917
0.6667,0.9167,1.0,0.7917,0.7083,0.8333,1.0,0.75,0.6667,0.5833,0.6667,0.625
0.5417,0.5833,0.9167,0.4583,0.4583,0.7083,1.0,0.5,0.5833,0.5417,0.625,0.5833
0.64,0.72,0.96,0.72,0.68,0.84,1.0,0.72,0.72,0.72,0.72,0.76
0.68,0.84,0.8,0.6,0.56,0.84,0.96,0.68,0.64,0.76,0.84,0.72
0.64,0.72,0.88,0.68,0.52,0.64,0.96,0.68,0.6,0.56,0.64,0.6
0.75,1.0,1.0,0.875,0.7917,1.0,1.0,0.8333,0.9167,0.9167,0.9583,0.9167
0.625,0.7917,0.9167,0.75,0.6667,0.8333,1.0,0.75,0.7083,0.75,0.8333,0.875
0.8333,0.875,1.0,0.75,0.7917,0.9167,1.0,0.7917,0.75,0.7083,0.9583,0.7917
0.6667,0.75,0.875,0.875,0.7083,0.8333,1.0,0.8333,0.7083,0.75,0.6667,0.7917
0.75,0.7917,1.0,0.75,0.7083,0.8333,1.0,0.75,0.7083,0.7083,0.75,0.6667
0.625,0.9167,1.0,0.8333,0.625,0.7083,1.0,0.75,0.625,0.6667,0.7083,0.7083
0.5417,0.7083,1.0,0.7917,0.7083,0.7917,1.0,0.7917,0.625,0.7083,0.7083,0.625
0.64,0.68,1.0,0.76,0.68,0.88,1.0,0.88,0.72,0.68,0.76,0.76
0.68,0.72,1.0,0.76,0.76,0.8,0.96,0.84,0.72,0.6,0.8,0.76
0.64,0.92,1.0,0.6,0.6,0.84,1.0,0.68,0.72,0.64,0.8,0.72
0.5417,0.7083,0.9583,0.6667,0.5833,0.7917,0.9583,0.625,0.5833,0.6667,0.7083,0.7083
0.625,0.7083,1.0,0.7917,0.75,0.875,1.0,0.7083,0.6667,0.8333,0.9583,0.625
0.4583,0.75,1.0,0.5833,0.4167,0.7917,1.0,0.5417,0.625,0.5833,0.8333,0.5
0.6667,0.7917,1.0,0.7083,0.5833,0.8333,1.0,0.6667,0.625,0.625,0.7917,0.5833
0.875,0.9167,0.9583,0.75,0.75,0.875,1.0,0.7917,0.8333,0.8333,0.7917,0.7083
0.75,0.9167,0.875,0.875,0.75,0.875,1.0,0.8333,0.75,0.7083,0.7917,0.75
0.75,0.9167,1.0,0.75,0.8333,0.875,1.0,0.8333,0.7917,0.8333,0.9583,0.875
0.6,0.68,0.96,0.76,0.56,0.88,0.96,0.64,0.68,0.72,0.8,0.72
0.64,0.76,1.0,0.8,0.64,0.8,0.92,0.84,0.72,0.68,0.76,0.8
0.52,0.64,1.0,0.72,0.6,0.76,1.0,0.76,0.76,0.72,0.72,0.64
0.6667,0.7083,0.9167,0.6667,0.6667,0.7917,1.0,0.625,0.75,0.625,0.6667,0.6667
0.75,0.9167,1.0,0.7917,0.6667,0.9167,1.0,0.8333,0.875,0.75,0.9167,0.875
0.625,0.625,1.0,0.7083,0.625,0.7917,1.0,0.75,0.625,0.75,0.75,0.6667
0.8333,0.6667,0.9167,0.75,0.7917,0.8333,1.0,0.7917,0.8333,0.7917,0.7917,0.75
0.6667,0.75,1.0,0.5833,0.5833,0.7917,1.0,0.5833,0.7083,0.6667,0.875,0.7083
0.75,0.6667,0.9583,0.875,0.6667,0.7083,1.0,0.875,0.6667,0.7083,0.6667,0.625
0.5833,0.9167,1.0,0.625,0.75,0.7917,1.0,0.75,0.7083,0.7083,0.7917,0.75
0.48,0.64,1.0,0.72,0.64,0.68,1.0,0.76,0.68,0.72,0.72,0.6
0.6,0.96,1.0,0.84,0.8,0.88,1.0,0.72,0.76,0.88,0.92,0.76
0.68,0.76,1.0,0.68,0.72,0.76,1.0,0.76,0.64,0.64,0.64,0.68
0.625,0.7083,0.8333,0.5833,0.625,0.7083,0.9167,0.5417,0.625,0.5417,0.6667,0.6667
0.8333,0.7917,0.875,0.75,0.8333,0.9583,1.0,0.75,0.7917,0.75,0.875,0.7083
0.5417,0.8333,0.9167,0.7083,0.5417,0.7917,1.0,0.6667,0.6667,0.6667,0.75,0.6667
0.6667,0.7083,0.8333,0.8333,0.6667,0.75,1.0,0.75,0.6667,0.7083,0.875,0.6667
0.6667,0.7917,1.0,0.875,0.6667,0.75,0.9583,0.7917,0.7083,0.75,0.9167,0.75
0.7917,0.7083,1.0,0.625,0.75,0.8333,1.0,0.6667,0.7083,0.6667,0.875,0.7083
0.6667,0.75,1.0,0.7083,0.625,0.875,1.0,0.75,0.6667,0.875,0.9583,0.625
0.52,0.88,1.0,0.64,0.6,0.76,1.0,0.64,0.72,0.6,0.72,0.8
0.68,0.84,1.0,0.88,0.64,0.88,1.0,0.76,0.64,0.68,0.8,0.76
0.48,0.88,1.0,0.52,0.6,0.64,1.0,0.64,0.76,0.56,0.72,0.68
0.75,0.8333,1.0,0.7917,0.7083,0.7917,0.9167,0.7083,0.5833,0.7083,0.7917,0.7917
0.7083,0.75,1.0,0.7917,0.75,0.9167,1.0,0.7083,0.75,0.5417,0.8333,0.625
0.5417,0.7917,1.0,0.7917,0.7083,0.875,1.0,0.8333,0.5833,0.7917,0.8333,0.7083
0.625,0.75,0.9583,0.7083,0.5833,0.75,1.0,0.7917,0.5833,0.7083,0.875,0.625
0.75,0.8333,1.0,0.7917,0.7917,0.9167,1.0,0.7917,0.875,0.875,0.875,0.875
0.625,0.7917,1.0,0.7083,0.7083,0.8333,1.0,0.6667,0.7083,0.625,0.7917,0.75
0.6667,0.7917,0.875,0.75,0.75,0.9583,1.0,0.7083,0.7917,0.75,0.75,0.7083
0.76,0.84,0.92,0.8,0.68,0.88,1.0,0.84,0.72,0.72,0.8,0.76
0.64,0.84,1.0,0.64,0.72,0.92,1.0,0.76,0.84,0.8,0.88,0.88
0.6,0.72,0.92,0.8,0.72,0.8,1.0,0.8,0.76,0.76,0.76,0.68
0.5833,0.7083,0.75,0.75,0.6667,0.8333,1.0,0.75,0.5833,0.7083,0.7917,0.625
0.5417,0.8333,1.0,0.75,0.8333,0.9167,1.0,0.7083,0.7083,0.875,0.8333,0.7083
0.7083,0.7083,0.9167,0.75,0.6667,0.75,0.9583,0.75,0.5833,0.625,0.5417,0.6667
0.8333,0.8333,1.0,0.7917,0.7083,1.0,1.0,0.875,0.7917,0.7917,0.9167,0.8333
0.5417,0.5417,0.7917,0.6667,0.4583,0.5833,0.9167,0.4583,0.5833,0.5,0.6667,0.5833
0.5833,0.7917,1.0,0.625,0.7083,0.7917,1.0,0.7083,0.75,0.7083,0.7083,0.75
0.76,0.92,1.0,0.56,0.6,0.88,1.0,0.68,0.76,0.6,0.72,0.72
0.8,0.76,0.8,0.8,0.64,0.64,0.96,0.8,0.64,0.64,0.88,0.6
0.6,0.92,1.0,0.72,0.6,0.72,1.0,0.72,0.68,0.64,0.76,0.8
0.5,0.6667,0.7083,0.5833,0.5833,0.7917,1.0,0.5833,0.7083,0.6667,0.7083,0.5833
0.7083,0.9167,0.9583,0.875,0.7917,0.9583,0.9583,0.875,0.7083,0.9167,0.9167,0.875
0.7917,0.7917,0.875,0.6667,0.7917,0.7917,1.0,0.7083,0.625,0.625,0.7083,0.6667
0.4583,0.7917,0.875,0.7083,0.7083,0.7917,1.0,0.7083,0.5833,0.625,0.7083,0.7083
0.5417,0.8333,0.875,0.8333,0.75,0.9583,0.9583,0.8333,0.7917,0.7083,0.75,0.7917
0.7917,0.7917,0.9167,0.7917,0.7083,0.8333,1.0,0.75,0.7083,0.75,0.7917,0.7083
0.6667,0.9583,1.0,0.7917,0.75,0.9167,1.0,0.75,0.8333,0.8333,0.9583,0.9167
0.64,0.84,1.0,0.64,0.72,0.88,1.0,0.8,0.72,0.68,0.8,0.76
