Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.9003,0.9266,0.8811,0.8444,0.9213,0.9231,0.9056,0.8531,0.8208,0.8907,0.9047,0.8846
0.9283,0.9266,0.9388,0.9458,0.9371,0.9283,0.9143,0.9336,0.9563,0.9441,0.924,0.9231
0.9003,0.902,0.8987,0.9086,0.892,0.902,0.9037,0.9153,0.8663,0.8779,0.8771,0.8796
0.8771,0.8555,0.8256,0.8738,0.8688,0.8837,0.8704,0.8738,0.941,0.8613,0.8746,0.9145
0.8397,0.8189,0.7558,0.9028,0.8422,0.8488,0.8405,0.8895,0.8646,0.8505,0.7907,0.8837
0.8937,0.9468,0.8223,0.9684,0.9668,0.9336,0.9502,0.9701,0.9502,0.9726,0.9568,0.9493
0.9319,0.8746,0.9153,0.9319,0.9336,0.9286,0.9336,0.9236,0.9194,0.8929,0.9194,0.9277
0.8704,0.8505,0.8439,0.8264,0.8605,0.8704,0.8488,0.8488,0.8281,0.8198,0.8339,0.8148
0.9253,0.9091,0.9156,0.8961,0.9123,0.9286,0.9237,0.8961,0.8945,0.8312,0.8815,0.8231
0.8628,0.8383,0.8663,0.8042,0.8881,0.8951,0.9073,0.8409,0.8392,0.8776,0.8593,0.8969
0.8654,0.8479,0.8584,0.8724,0.8322,0.8531,0.8671,0.8776,0.8925,0.8872,0.9012,0.9082
0.9266,0.9423,0.9196,0.9615,0.9231,0.9248,0.9108,0.9563,0.9012,0.9266,0.8829,0.9493
0.9485,0.9502,0.9502,0.9502,0.9385,0.9485,0.9385,0.9518,0.9302,0.961,0.9377,0.9734
0.9103,0.9219,0.8671,0.9037,0.9086,0.9136,0.892,0.9153,0.9028,0.8837,0.8654,0.9228
0.9718,0.9618,0.9302,0.9003,0.9668,0.9585,0.9518,0.9336,0.9626,0.9601,0.9726,0.9502
0.8721,0.8588,0.8472,0.9186,0.8505,0.8522,0.8405,0.902,0.8854,0.8173,0.8405,0.8696
0.892,0.8472,0.8688,0.8223,0.9136,0.8987,0.8588,0.8447,0.8804,0.8912,0.9203,0.8654
0.9435,0.9369,0.9551,0.9385,0.9286,0.9435,0.9369,0.9435,0.9385,0.9095,0.9128,0.9344
0.8604,0.8231,0.8214,0.8458,0.8506,0.8247,0.8344,0.8409,0.9091,0.8596,0.9026,0.9156
0.8937,0.887,0.8821,0.9286,0.9086,0.912,0.9003,0.9336,0.9385,0.9311,0.9302,0.9302
0.9618,0.9535,0.9568,0.9369,0.9518,0.9518,0.9518,0.9402,0.9527,0.9435,0.9319,0.951
0.8854,0.9037,0.9086,0.9336,0.8904,0.8937,0.8605,0.9252,0.8497,0.8455,0.8895,0.8879
0.912,0.9086,0.9053,0.8455,0.8754,0.8804,0.8987,0.8472,0.8854,0.8239,0.8364,0.8995
0.9103,0.907,0.9402,0.8987,0.8987,0.9219,0.9086,0.892,0.9012,0.9061,0.9277,0.887
0.8488,0.8571,0.8414,0.8256,0.8887,0.8721,0.902,0.8189,0.8405,0.887,0.9194,0.887
0.9065,0.8942,0.8969,0.9563,0.9406,0.9353,0.9476,0.9528,0.8986,0.8986,0.8698,0.8829
0.9056,0.8794,0.9126,0.965,0.9301,0.9231,0.9161,0.9528,0.9677,0.9266,0.9432,0.9117
0.9476,0.9301,0.8899,0.9213,0.9406,0.9283,0.9143,0.9248,0.9117,0.8243,0.8488,0.9397
0.901,0.914,0.914,0.8506,0.9221,0.9188,0.9318,0.8555,0.901,0.9643,0.9318,0.931
0.902,0.8787,0.892,0.8962,0.9269,0.9336,0.9236,0.897,0.8829,0.9485,0.951,0.8779
0.9801,0.9651,0.9502,0.9228,0.9668,0.9751,0.9767,0.9734,0.9493,0.961,0.9493,0.9327
0.9502,0.9468,0.9153,0.9668,0.9402,0.9435,0.9219,0.9635,0.9435,0.9518,0.9319,0.951
0.8721,0.8638,0.8081,0.8638,0.8654,0.8571,0.8771,0.8463,0.863,0.863,0.8962,0.7791
0.8397,0.8281,0.8256,0.9086,0.8704,0.8571,0.8522,0.8654,0.8721,0.8538,0.8638,0.897
0.9352,0.9186,0.9136,0.9236,0.9053,0.907,0.9086,0.9186,0.8929,0.853,0.8538,0.8962
0.9563,0.9668,0.9563,0.9231,0.9615,0.9685,0.9738,0.9266,0.9309,0.9572,0.9528,0.9135
0.8916,0.8846,0.8689,0.8951,0.8584,0.8811,0.8654,0.8829,0.9397,0.8374,0.8864,0.8951
0.8269,0.8042,0.7885,0.7815,0.8024,0.7815,0.7955,0.7902,0.8059,0.8348,0.8427,0.7745
0.8393,0.8442,0.8019,0.8011,0.8539,0.8701,0.8425,0.8044,0.8401,0.8498,0.8011,0.8823
0.9353,0.9301,0.9406,0.9248,0.9143,0.9441,0.9476,0.9161,0.9327,0.9344,0.9685,0.9196
0.9388,0.9318,0.8759,0.9371,0.9213,0.9231,0.9161,0.9301,0.9309,0.917,0.8601,0.951
0.9231,0.8846,0.8794,0.8977,0.9336,0.9161,0.9143,0.9493,0.9213,0.9318,0.9528,0.8855
0.9485,0.9286,0.9319,0.8987,0.912,0.9286,0.9336,0.9086,0.9394,0.956,0.9435,0.8895
0.8937,0.8904,0.8638,0.8804,0.8804,0.8688,0.8821,0.8787,0.8846,0.9003,0.892,0.9111
0.9086,0.9236,0.8937,0.9012,0.9219,0.912,0.9103,0.8937,0.8455,0.8812,0.8837,0.897
0.8953,0.8887,0.8821,0.8912,0.8654,0.8738,0.8804,0.8879,0.8555,0.8953,0.8513,0.8646
0.8497,0.9086,0.799,0.8563,0.907,0.8854,0.9136,0.892,0.8754,0.8854,0.8846,0.8796
0.9385,0.9402,0.9153,0.9419,0.9269,0.9286,0.9203,0.9385,0.9535,0.8937,0.9211,0.9626
0.9399,0.9399,0.9464,0.9464,0.9286,0.9318,0.9205,0.9481,0.9497,0.9602,0.9562,0.9586
0.9318,0.9388,0.9161,0.9423,0.9301,0.9248,0.9266,0.9388,0.9519,0.9371,0.9161,0.9047
0.8514,0.8706,0.8531,0.8829,0.8724,0.8549,0.8636,0.8671,0.861,0.8322,0.8584,0.868
0.84,0.8418,0.7876,0.8995,0.9021,0.8986,0.9003,0.9371,0.8383,0.8689,0.826,0.8269
0.9684,0.9784,0.9336,0.9377,0.9834,0.9684,0.9784,0.9269,0.9402,0.9834,0.9884,0.9826
0.9053,0.8904,0.8787,0.8887,0.892,0.897,0.9037,0.8837,0.8447,0.8671,0.8355,0.8488
0.8638,0.8272,0.8106,0.8405,0.8289,0.8339,0.8007,0.8306,0.8547,0.8771,0.8181,0.8704
0.8671,0.8596,0.8862,0.8762,0.9086,0.907,0.9169,0.8671,0.8821,0.8729,0.892,0.9028
0.9385,0.9452,0.9535,0.9203,0.9369,0.9352,0.9336,0.9601,0.9527,0.902,0.9311,0.9228
0.8339,0.8447,0.8588,0.8322,0.9186,0.9269,0.9336,0.8355,0.8098,0.8596,0.858,0.8364
0.9107,0.9172,0.9091,0.8628,0.9091,0.9123,0.9188,0.8628,0.8352,0.8994,0.9164,0.8888
0.8986,0.8934,0.8584,0.8864,0.8934,0.8951,0.8409,0.8829,0.8313,0.8234,0.8566,0.8698
0.8654,0.7972,0.8024,0.854,0.8462,0.8531,0.8427,0.8916,0.8514,0.8007,0.8164,0.8855
0.8794,0.8724,0.8986,0.8671,0.8969,0.8969,0.8916,0.8706,0.8645,0.9388,0.8444,0.8969
0.8962,0.9336,0.9153,0.8671,0.9169,0.9236,0.912,0.9037,0.9145,0.8588,0.8729,0.8953
0.8505,0.8206,0.7957,0.8538,0.8704,0.8837,0.8472,0.8488,0.8821,0.8887,0.8812,0.8721
0.9551,0.9551,0.8895,0.9917,0.9402,0.9485,0.9468,0.9884,0.9369,0.9518,0.9651,0.9826
0.9369,0.8879,0.9252,0.9153,0.9053,0.9186,0.907,0.9136,0.9477,0.9344,0.9169,0.9086
0.8804,0.9319,0.9319,0.9186,0.9153,0.9269,0.9186,0.9161,0.9427,0.9336,0.9369,0.956
0.9502,0.9336,0.9103,0.907,0.9502,0.9435,0.9369,0.902,0.9444,0.9153,0.9136,0.8671
0.9172,0.8336,0.8166,0.9188,0.8864,0.8912,0.8864,0.9205,0.8758,0.8498,0.9058,0.8929
0.8953,0.8804,0.8472,0.9302,0.8821,0.887,0.8571,0.9319,0.9095,0.8771,0.858,0.9601
0.9468,0.9468,0.9269,0.9269,0.9336,0.9286,0.9252,0.9219,0.8746,0.902,0.9111,0.9352
0.9203,0.9086,0.9053,0.9261,0.9219,0.9269,0.9252,0.9485,0.9203,0.9078,0.9394,0.9468
0.8937,0.8787,0.887,0.8555,0.902,0.9003,0.9037,0.8605,0.9111,0.8729,0.9385,0.8779
0.8571,0.8754,0.8821,0.8605,0.8821,0.8937,0.887,0.8713,0.8455,0.8754,0.8821,0.863
0.9053,0.8837,0.887,0.912,0.8738,0.892,0.9037,0.902,0.9161,0.8929,0.8837,0.9003
0.9353,0.9388,0.8881,0.9353,0.9091,0.9231,0.9231,0.9143,0.9205,0.9371,0.9301,0.9187
0.9108,0.8899,0.8951,0.8934,0.8969,0.8881,0.8846,0.8741,0.8986,0.875,0.8059,0.8837
0.9301,0.9248,0.9423,0.9073,0.951,0.9353,0.9441,0.9493,0.9012,0.9117,0.9493,0.9292
0.875,0.9172,0.9123,0.8985,0.9042,0.9091,0.9058,0.8969,0.8596,0.8864,0.8807,0.836
0.8829,0.8706,0.9021,0.8287,0.8916,0.8934,0.8846,0.8059,0.8759,0.8829,0.8505,0.8497
0.8497,0.8217,0.792,0.8934,0.8392,0.8462,0.8374,0.8829,0.8969,0.8435,0.8392,0.8925
0.9266,0.9143,0.9196,0.9362,0.9441,0.9213,0.9073,0.9344,0.9082,0.9458,0.8654,0.9554
0.9037,0.9219,0.8206,0.9169,0.8538,0.8787,0.8422,0.9153,0.8613,0.7957,0.8331,0.8854
0.8339,0.8123,0.8696,0.9128,0.9153,0.8688,0.9186,0.9095,0.9003,0.8854,0.9153,0.956
0.9319,0.9103,0.912,0.9369,0.9352,0.9352,0.9236,0.9219,0.902,0.9385,0.9261,0.8912
0.8555,0.8621,0.8588,0.8571,0.9252,0.8605,0.9153,0.8522,0.8879,0.9111,0.8787,0.9045
0.9635,0.9651,0.9635,0.9585,0.9535,0.9485,0.9452,0.9585,0.9493,0.951,0.9485,0.8762
0.9286,0.9103,0.8654,0.8937,0.9053,0.9203,0.8588,0.8821,0.9169,0.9161,0.8738,0.8762
0.9269,0.9253,0.9253,0.9432,0.9416,0.9399,0.9269,0.9529,0.9229,0.9245,0.9448,0.9286
0.9371,0.9266,0.9161,0.9406,0.9458,0.9353,0.9248,0.9371,0.9607,0.9685,0.965,0.9441
0.8514,0.8566,0.8566,0.8418,0.8619,0.8601,0.8392,0.8383,0.7823,0.8925,0.8698,0.8357
0.9021,0.9371,0.9038,0.8829,0.9196,0.9231,0.8986,0.8846,0.9388,0.9537,0.9178,0.9205
0.8854,0.8331,0.8164,0.8895,0.8904,0.9003,0.897,0.907,0.8646,0.8206,0.8638,0.9585
0.887,0.8588,0.8389,0.8688,0.8887,0.8704,0.8555,0.8754,0.8505,0.9086,0.8588,0.8414
0.887,0.8995,0.8829,0.8405,0.8904,0.9053,0.9037,0.8405,0.8588,0.853,0.8729,0.8754
0.9302,0.9319,0.8555,0.9252,0.9236,0.9286,0.9086,0.9369,0.8854,0.8912,0.8987,0.9269
0.9568,0.9568,0.9452,0.9485,0.9385,0.9419,0.9419,0.9352,0.9336,0.8829,0.9211,0.9003
0.9136,0.902,0.9252,0.8638,0.9203,0.9053,0.9153,0.8638,0.902,0.9477,0.9236,0.9153
0.9123,0.901,0.901,0.9399,0.9075,0.8994,0.8864,0.9286,0.9375,0.9164,0.8661,0.9497
0.8759,0.8374,0.8304,0.8916,0.8741,0.8794,0.8531,0.8969,0.8654,0.875,0.889,0.8811
0.9222,0.9598,0.9178,0.9178,0.951,0.958,0.9441,0.9117,0.9082,0.9038,0.889,0.9047
0.8339,0.8497,0.8444,0.8164,0.8339,0.8252,0.8497,0.854,0.8234,0.792,0.8357,0.9318
0.9037,0.8821,0.8439,0.8721,0.8937,0.8887,0.8987,0.8663,0.9012,0.9028,0.8937,0.8995
0.995,0.995,0.985,0.9801,0.9867,0.9884,0.985,0.9801,0.9477,0.9468,0.9651,0.956
0.8904,0.8605,0.8164,0.9169,0.8904,0.9037,0.8953,0.9086,0.9012,0.8929,0.9037,0.8937
0.8289,0.8704,0.8081,0.7716,0.8621,0.8804,0.8771,0.7683,0.8762,0.8638,0.8671,0.8746
0.9585,0.9502,0.9502,0.9336,0.9419,0.9236,0.9402,0.9319,0.9485,0.9385,0.8696,0.912
0.9153,0.8937,0.907,0.9286,0.9103,0.9169,0.897,0.9402,0.8688,0.853,0.8455,0.8787
0.8563,0.8961,0.8336,0.8726,0.8994,0.8994,0.8896,0.9156,0.8758,0.8953,0.875,0.918
0.9091,0.9038,0.8986,0.9178,0.9056,0.8881,0.8986,0.9196,0.8837,0.9362,0.9047,0.8934
0.9143,0.8986,0.9283,0.8348,0.9213,0.9143,0.9108,0.8462,0.9021,0.917,0.9222,0.8488
0.9423,0.9196,0.8636,0.9126,0.9318,0.9353,0.9161,0.9038,0.9196,0.9021,0.9143,0.896
0.9219,0.8696,0.9269,0.9203,0.9053,0.912,0.907,0.9103,0.8837,0.8945,0.8638,0.8978
0.897,0.892,0.9086,0.9061,0.8821,0.8904,0.8704,0.9419,0.8953,0.887,0.8447,0.8962
0.8887,0.8862,0.8829,0.8787,0.9252,0.9186,0.9136,0.8821,0.8713,0.9244,0.936,0.8505
0.9452,0.9319,0.892,0.9767,0.9502,0.9402,0.9402,0.9751,0.9759,0.9086,0.9684,0.9917
0.8854,0.8671,0.8987,0.9086,0.8704,0.8754,0.8688,0.8987,0.9128,0.9061,0.8729,0.9228
0.9385,0.912,0.9385,0.9452,0.9286,0.9236,0.9186,0.9452,0.9585,0.9527,0.9601,0.9635
0.9334,0.9416,0.9075,0.9286,0.9286,0.9367,0.9205,0.9172,0.9172,0.8847,0.9245,0.9343
0.8794,0.8794,0.8899,0.8759,0.8514,0.8549,0.8671,0.8706,0.8636,0.8156,0.7753,0.8059
0.8654,0.8479,0.8252,0.9003,0.8881,0.8619,0.8584,0.8969,0.8549,0.8645,0.9038,0.9318
0.9633,0.896,0.9038,0.965,0.9633,0.9633,0.9545,0.9598,0.951,0.9449,0.9353,0.9126
0.8854,0.902,0.902,0.8912,0.9053,0.902,0.8754,0.8879,0.8779,0.9045,0.902,0.9103
0.8538,0.8488,0.8439,0.8355,0.8754,0.8588,0.8704,0.8306,0.8571,0.9037,0.8696,0.8688
0.8223,0.7616,0.7973,0.8879,0.887,0.8738,0.8821,0.8746,0.8563,0.9178,0.9037,0.9211
0.8854,0.887,0.8671,0.9468,0.907,0.8953,0.8754,0.9419,0.8879,0.907,0.9294,0.9319
0.9435,0.9518,0.9219,0.9452,0.9551,0.9452,0.9402,0.9485,0.9419,0.9294,0.9037,0.9668
0.9336,0.9103,0.9369,0.9153,0.9352,0.9452,0.9419,0.9252,0.9369,0.9302,0.951,0.9302
0.8864,0.8847,0.8653,0.9107,0.8734,0.8831,0.875,0.8977,0.8929,0.8677,0.8718,0.9237
0.8601,0.9266,0.9056,0.9441,0.9126,0.9108,0.8934,0.9388,0.9213,0.9432,0.9318,0.9677
0.8619,0.7902,0.8951,0.8234,0.9038,0.8934,0.8899,0.8322,0.8226,0.868,0.9038,0.8986
0.868,0.8584,0.8392,0.8995,0.8864,0.8986,0.8846,0.9021,0.8846,0.8689,0.8628,0.9152
0.8688,0.8821,0.8804,0.8654,0.8621,0.8837,0.8904,0.8721,0.9012,0.9244,0.8912,0.8953
0.9037,0.8422,0.8605,0.8538,0.8854,0.8671,0.8688,0.8472,0.8239,0.8787,0.8164,0.9169
0.9385,0.9369,0.8887,0.9028,0.9352,0.9252,0.902,0.8953,0.8796,0.9128,0.8804,0.8978
0.9419,0.9385,0.9385,0.9551,0.9336,0.9336,0.9336,0.9468,0.9369,0.9028,0.9061,0.9626
0.9701,0.9817,0.9651,0.9701,0.9817,0.9784,0.9834,0.9734,0.9369,0.9186,0.9327,0.9219
0.9269,0.9352,0.9136,0.9369,0.9153,0.9153,0.9103,0.9252,0.9103,0.9203,0.8929,0.9128
0.9302,0.9334,0.8352,0.974,0.9269,0.9383,0.9026,0.9448,0.9367,0.8661,0.9123,0.9075
0.9169,0.9485,0.9551,0.9518,0.9153,0.9136,0.9219,0.9518,0.9369,0.9576,0.9452,0.9585
0.9734,0.9502,0.9618,0.9884,0.9684,0.9734,0.9718,0.9784,0.9734,0.9228,0.9078,0.9535
0.8671,0.8754,0.8555,0.9136,0.8671,0.8605,0.8821,0.9252,0.9336,0.897,0.8173,0.9344
0.8937,0.9037,0.8804,0.8738,0.9103,0.907,0.9153,0.8688,0.8854,0.9078,0.8821,0.8696
0.8937,0.8621,0.8821,0.8937,0.9203,0.9203,0.9219,0.8945,0.9053,0.9319,0.9169,0.8862
0.9535,0.9452,0.9086,0.9385,0.9502,0.9502,0.9302,0.9352,0.9269,0.9377,0.9477,0.8995
0.8969,0.8759,0.8934,0.8829,0.8724,0.8741,0.8671,0.8741,0.8881,0.8986,0.8566,0.8663
0.8549,0.8811,0.8776,0.7657,0.8899,0.8934,0.8881,0.8147,0.7395,0.826,0.8698,0.8016
0.9231,0.9178,0.9073,0.9388,0.9091,0.9143,0.8899,0.9283,0.9379,0.861,0.8767,0.9423
0.9302,0.8653,0.901,0.892,0.9286,0.9269,0.9107,0.9367,0.9432,0.9172,0.914,0.961
0.8794,0.9091,0.8759,0.8619,0.8584,0.8654,0.8689,0.8584,0.8969,0.9248,0.9073,0.9047
0.8969,0.799,0.8322,0.8715,0.8846,0.8899,0.8671,0.8619,0.8593,0.9143,0.8855,0.8907
0.8689,0.8497,0.8462,0.8147,0.8811,0.8724,0.8671,0.8191,0.7788,0.8409,0.8313,0.8278
0.8355,0.8289,0.8156,0.8198,0.814,0.8372,0.7973,0.8198,0.8123,0.8231,0.8439,0.8106
0.9468,0.9468,0.9468,0.9551,0.9219,0.9302,0.9302,0.9535,0.9493,0.9086,0.9327,0.9452
0.892,0.9502,0.9302,0.9684,0.9435,0.9452,0.9153,0.9751,0.9502,0.9394,0.941,0.9402
0.897,0.8746,0.912,0.9294,0.9269,0.9402,0.9385,0.9244,0.907,0.9551,0.9452,0.9585
0.9518,0.9402,0.9186,0.9219,0.9468,0.9369,0.9419,0.9186,0.9236,0.9228,0.9344,0.8995
0.9784,0.9651,0.9535,0.9535,0.9734,0.9751,0.985,0.9551,0.9543,0.9776,0.941,0.9792
0.961,0.9351,0.901,0.9148,0.9692,0.974,0.9773,0.9351,0.9594,0.9448,0.9513,0.9481
0.8706,0.8584,0.8654,0.8182,0.8601,0.8654,0.8444,0.8584,0.8409,0.9073,0.8558,0.8733
0.8706,0.8689,0.8794,0.9021,0.8601,0.8531,0.8269,0.8899,0.9065,0.8811,0.8584,0.9318
0.8776,0.9091,0.8374,0.9056,0.8706,0.8741,0.8724,0.8986,0.8628,0.875,0.91,0.8689
0.8945,0.8688,0.8904,0.8439,0.902,0.9236,0.9186,0.8372,0.8605,0.8953,0.9078,0.8497
0.9518,0.9485,0.9601,0.9601,0.9485,0.9568,0.9502,0.9568,0.9103,0.9078,0.9103,0.907
0.9468,0.9402,0.9468,0.9535,0.9601,0.9601,0.9651,0.9502,0.9551,0.9485,0.99,0.9701
0.902,0.8937,0.9037,0.8804,0.8721,0.8688,0.8306,0.8821,0.843,0.8032,0.8281,0.8281
0.902,0.9136,0.9103,0.8331,0.8571,0.8953,0.8937,0.8771,0.9252,0.9111,0.9045,0.8721
0.9236,0.912,0.8987,0.9352,0.9252,0.9203,0.9203,0.9286,0.8738,0.8987,0.946,0.8771
0.9302,0.9253,0.914,0.9253,0.9221,0.9351,0.9156,0.9172,0.9326,0.9407,0.9156,0.8985
0.8969,0.9003,0.8969,0.8741,0.8584,0.8794,0.8811,0.8829,0.9126,0.8811,0.889,0.9248
0.9493,0.9423,0.9406,0.9563,0.9406,0.9371,0.9406,0.9493,0.9152,0.9274,0.9406,0.9528
0.9458,0.9388,0.951,0.9257,0.9441,0.9441,0.9248,0.924,0.9257,0.9021,0.9135,0.9047
0.8156,0.804,0.8322,0.8123,0.8621,0.8422,0.8405,0.8106,0.8048,0.7998,0.8571,0.8289
0.8621,0.8654,0.8505,0.8787,0.8571,0.8488,0.8522,0.8671,0.9045,0.8696,0.8654,0.9502
0.9236,0.9203,0.897,0.8729,0.9086,0.9053,0.9236,0.9169,0.9352,0.9261,0.9061,0.8688
0.9086,0.9003,0.897,0.9136,0.897,0.9103,0.8937,0.9136,0.9336,0.8912,0.8953,0.8987
0.9037,0.907,0.912,0.8281,0.9169,0.902,0.897,0.8555,0.9111,0.8613,0.887,0.907
0.9344,0.9286,0.9668,0.9917,0.9734,0.9767,0.9767,0.9934,0.9535,0.9643,0.9892,0.9709
0.9578,0.8994,0.9627,0.9481,0.9594,0.9513,0.9464,0.9416,0.9481,0.9675,0.9537,0.9821
0.9419,0.8804,0.912,0.9153,0.912,0.9203,0.9136,0.912,0.8862,0.9028,0.8405,0.9111
0.8804,0.8621,0.8571,0.892,0.8555,0.8688,0.8638,0.8854,0.8654,0.8846,0.8738,0.8696
0.8738,0.8547,0.8854,0.9186,0.9169,0.907,0.9086,0.9003,0.9086,0.9377,0.9336,0.9252
0.9103,0.8738,0.8588,0.892,0.8854,0.9003,0.8937,0.907,0.8787,0.902,0.9286,0.9493
0.9203,0.8953,0.8389,0.9485,0.9219,0.9169,0.8987,0.9319,0.9468,0.9385,0.9452,0.9286
0.9136,0.9169,0.9269,0.8497,0.8937,0.8987,0.8837,0.8746,0.8837,0.8588,0.8937,0.9003
0.9213,0.9108,0.9248,0.9301,0.9073,0.9143,0.8986,0.9318,0.8934,0.8776,0.8776,0.8907
0.9266,0.9196,0.9143,0.9423,0.951,0.9441,0.9423,0.9301,0.9554,0.9222,0.951,0.9589
0.8322,0.9196,0.8462,0.896,0.9021,0.9038,0.8969,0.8715,0.91,0.882,0.8671,0.9143
0.9123,0.9123,0.8929,0.9545,0.914,0.8994,0.8831,0.9545,0.9156,0.8791,0.9343,0.9326
0.9703,0.9493,0.9301,0.965,0.9668,0.9528,0.951,0.965,0.8995,0.9449,0.9266,0.9423
0.9021,0.9021,0.9003,0.8628,0.8969,0.8986,0.8934,0.8698,0.8392,0.8733,0.8418,0.8951
0.958,0.9073,0.9266,0.9545,0.9371,0.951,0.9441,0.9476,0.9414,0.9799,0.9755,0.986
0.8953,0.8571,0.8455,0.9136,0.887,0.8887,0.8638,0.9103,0.9095,0.8588,0.912,0.8754
0.907,0.9452,0.8771,0.9236,0.912,0.9252,0.9169,0.8904,0.8713,0.8455,0.8929,0.9078
0.9402,0.9402,0.9485,0.8613,0.9402,0.9419,0.9352,0.9003,0.9194,0.9402,0.8879,0.8846
0.9086,0.8987,0.8804,0.9136,0.8887,0.8837,0.887,0.9153,0.8281,0.8945,0.8339,0.9352
0.8738,0.8654,0.8605,0.8787,0.8821,0.8704,0.8555,0.8754,0.8821,0.8904,0.9103,0.887
0.8538,0.8987,0.892,0.8854,0.9219,0.907,0.9086,0.8904,0.8405,0.8663,0.9012,0.9012
0.9497,0.9432,0.9497,0.914,0.9383,0.9351,0.914,0.901,0.8742,0.931,0.9269,0.9115
0.8762,0.912,0.8837,0.8372,0.907,0.9153,0.8787,0.8372,0.8447,0.858,0.8887,0.897
0.8588,0.8189,0.8339,0.8555,0.8571,0.8455,0.8372,0.8472,0.8663,0.8829,0.8414,0.8704
0.8588,0.8688,0.8422,0.8455,0.8588,0.8588,0.8621,0.8322,0.8281,0.8538,0.8472,0.7716
0.8538,0.8439,0.8173,0.8721,0.9086,0.907,0.9186,0.8671,0.9111,0.9045,0.9103,0.9203
0.8223,0.8231,0.804,0.7957,0.8654,0.8754,0.8688,0.7957,0.8804,0.8962,0.8995,0.8522
0.9701,0.9734,0.9684,0.9967,0.9718,0.9651,0.9601,0.9967,0.9601,0.9601,0.9444,1.0
0.8234,0.8077,0.8094,0.8252,0.8112,0.8287,0.8287,0.8295,0.8374,0.8322,0.8348,0.8619
0.882,0.958,0.9388,0.9406,0.9423,0.9476,0.9406,0.9353,0.9021,0.896,0.9065,0.8995
0.9685,0.9065,0.9598,0.951,0.9563,0.9685,0.9703,0.9773,0.9965,0.9895,0.9685,0.979
0.9675,0.9594,0.9432,0.9375,0.9675,0.9773,0.9675,0.9659,0.9594,0.9708,0.9732,0.957
0.8601,0.8654,0.8479,0.8706,0.8374,0.8514,0.8497,0.8654,0.8942,0.8776,0.8558,0.8645
0.8549,0.8916,0.9056,0.875,0.8601,0.8811,0.8811,0.9126,0.8785,0.8916,0.8899,0.8925
0.8409,0.8348,0.8514,0.8427,0.833,0.8348,0.8549,0.8287,0.8462,0.875,0.8942,0.8558
0.9269,0.902,0.8688,0.8804,0.9319,0.9086,0.902,0.8804,0.9252,0.9211,0.9377,0.8472
0.9053,0.892,0.8887,0.902,0.8987,0.8837,0.897,0.8771,0.9352,0.9012,0.9203,0.9037
0.9385,0.9252,0.8804,0.9468,0.9485,0.9385,0.9369,0.9585,0.9169,0.8987,0.8945,0.9402
0.9468,0.8978,0.9153,0.8953,0.9385,0.9352,0.9468,0.902,0.936,0.9302,0.9485,0.9643
0.887,0.8671,0.8405,0.9385,0.9169,0.892,0.9186,0.9419,0.8638,0.8447,0.9003,0.858
0.9269,0.9369,0.9385,0.9269,0.9385,0.9518,0.9419,0.9169,0.9194,0.9136,0.9435,0.9028
0.9643,0.9513,0.9334,0.9351,0.9545,0.9562,0.9481,0.9286,0.9164,0.892,0.9497,0.9229
0.9073,0.9668,0.9668,0.972,0.9615,0.9738,0.9738,0.9738,0.9642,0.9825,0.9808,0.9545
0.958,0.9545,0.9563,0.9668,0.9126,0.9301,0.8986,0.9615,0.9563,0.9449,0.9642,0.9694
0.9406,0.9545,0.9528,0.9476,0.9353,0.9353,0.9353,0.9476,0.9633,0.9441,0.9545,0.9694
0.9286,0.804,0.9319,0.9012,0.9236,0.9319,0.9302,0.9435,0.9477,0.9194,0.9161,0.9535
0.8555,0.8239,0.8007,0.804,0.8189,0.8289,0.8123,0.8256,0.8281,0.76,0.8231,0.8355
0.814,0.8804,0.8098,0.8123,0.8306,0.8389,0.8405,0.8023,0.8164,0.7766,0.7741,0.7857
0.897,0.8904,0.8804,0.9352,0.8738,0.8721,0.8472,0.9286,0.9161,0.897,0.8613,0.9261
0.8331,0.8198,0.8322,0.8023,0.8488,0.902,0.9236,0.8372,0.8721,0.8372,0.843,0.8497
0.902,0.8854,0.8588,0.8995,0.9037,0.9086,0.8738,0.897,0.956,0.9228,0.9211,0.9477
0.9123,0.8977,0.9058,0.9286,0.9058,0.914,0.8977,0.9351,0.9107,0.8945,0.8961,0.9131
0.8864,0.833,0.8374,0.8689,0.8899,0.8986,0.8951,0.8741,0.9065,0.9047,0.9196,0.9012
0.9231,0.9178,0.9196,0.9423,0.9161,0.9266,0.9178,0.9353,0.9747,0.9318,0.9458,0.8916
0.9825,0.9738,0.9843,0.9441,0.9843,0.9825,0.9843,0.9545,0.91,0.9493,0.9589,0.924
0.9319,0.8679,0.8522,0.8987,0.9186,0.9186,0.9136,0.8904,0.8762,0.9086,0.9435,0.8929
0.8239,0.8372,0.8223,0.8173,0.8787,0.8405,0.8522,0.8339,0.8372,0.8547,0.8846,0.8746
0.8239,0.8131,0.8854,0.7807,0.8206,0.8322,0.8472,0.7774,0.8314,0.8688,0.892,0.8422
0.9684,0.9551,0.9286,0.9585,0.9551,0.9535,0.9485,0.9435,0.9427,0.9585,0.9302,0.9377
