Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5217,0.5714,0.56,0.5106,0.4898,0.5532,0.5306,0.5106,0.4898,0.449,0.5106,0.5238
0.5098,0.5,0.4912,0.4364,0.5,0.4906,0.4746,0.4314,0.5098,0.5172,0.4918,0.5098
0.4583,0.44,0.4074,0.3922,0.44,0.449,0.4231,0.4,0.4583,0.4783,0.4167,0.4103
0.549,0.566,0.5556,0.5106,0.5556,0.566,0.5455,0.5217,0.549,0.48,0.52,0.5128
0.4737,0.4615,0.5128,0.5217,0.4615,0.5366,0.4878,0.5217,0.4737,0.5366,0.5333,0.439
0.4615,0.3704,0.44,0.3158,0.3922,0.4074,0.4167,0.2593,0.4615,0.3704,0.3922,0.3077
0.4889,0.4444,0.5333,0.5,0.5,0.4681,0.5116,0.5714,0.3902,0.4444,0.5,0.4
0.4348,0.48,0.4444,0.4255,0.5306,0.5306,0.44,0.4255,0.4615,0.4681,0.4615,0.6047
0.56,0.549,0.5,0.56,0.5769,0.5769,0.5882,0.5306,0.56,0.4643,0.4651,0.6222
0.4,0.383,0.4783,0.2326,0.3721,0.4348,0.4444,0.2727,0.4,0.4286,0.375,0.25
0.48,0.4727,0.4364,0.4561,0.4906,0.48,0.4706,0.4643,0.4231,0.5283,0.4783,0.4681
0.5217,0.4706,0.4138,0.4681,0.5,0.52,0.5385,0.4681,0.5217,0.4255,0.5,0.5789
0.52,0.48,0.5098,0.4889,0.4615,0.5098,0.5098,0.4889,0.52,0.48,0.5385,0.5
0.5217,0.5,0.4912,0.3182,0.5217,0.5833,0.5714,0.3182,0.5217,0.48,0.5333,0.2353
0.3529,0.4,0.3934,0.2182,0.3774,0.3846,0.3929,0.2182,0.3158,0.4167,0.3478,0.0625
0.4615,0.5641,0.4651,0.5833,0.4762,0.5366,0.5238,0.5957,0.4615,0.6316,0.5385,0.6061
0.5833,0.549,0.5532,0.5532,0.5769,0.6,0.5306,0.5532,0.5833,0.52,0.5306,0.5
0.5532,0.5417,0.5532,0.5,0.5652,0.5532,0.52,0.5098,0.449,0.5532,0.4545,0.381
0.4651,0.4255,0.4615,0.3333,0.4651,0.4444,0.4583,0.3333,0.4211,0.2927,0.4,0.3226
0.3478,0.3478,0.3774,0.32,0.4,0.3333,0.3846,0.3265,0.3721,0.4545,0.4,0.3077
0.4615,0.4898,0.5098,0.3846,0.5283,0.4815,0.5385,0.3529,0.4906,0.5098,0.5185,0.4444
0.4583,0.44,0.4583,0.3404,0.4528,0.4314,0.4151,0.4,0.4583,0.375,0.4706,0.303
0.4783,0.4706,0.48,0.3182,0.5106,0.4583,0.449,0.3182,0.4783,0.5098,0.5306,0.4
0.4,0.4091,0.3913,0.4,0.4091,0.4348,0.4444,0.3721,0.4,0.4,0.4211,0.5405
0.4681,0.48,0.48,0.5,0.5306,0.5306,0.5,0.4898,0.5,0.5,0.566,0.5116
0.4074,0.3846,0.3793,0.2857,0.4151,0.4074,0.4,0.2857,0.4074,0.4286,0.36,0.3182
0.6531,0.6122,0.5769,0.6087,0.6154,0.64,0.5714,0.6522,0.4906,0.6154,0.5532,0.5116
0.5,0.5455,0.5714,0.4286,0.5116,0.5116,0.5581,0.4091,0.5,0.5366,0.3684,0.3871
0.5217,0.5417,0.5556,0.48,0.549,0.5714,0.6038,0.48,0.5098,0.4545,0.5455,0.4878
0.4583,0.4681,0.4815,0.375,0.4231,0.449,0.4528,0.383,0.4651,0.4082,0.4762,0.3636
0.4651,0.4255,0.4651,0.375,0.5,0.44,0.4583,0.4082,0.4444,0.5238,0.5652,0.4762
0.5532,0.5778,0.5306,0.5581,0.5532,0.5714,0.5306,0.5238,0.5714,0.5714,0.5854,0.5455
0.5455,0.4583,0.4706,0.4706,0.5106,0.5217,0.4615,0.5385,0.4783,0.4783,0.4898,0.3158
0.3556,0.381,0.3478,0.3721,0.3333,0.4082,0.375,0.3636,0.3556,0.2927,0.3913,0.2051
0.4651,0.4545,0.4348,0.5,0.4286,0.4545,0.4444,0.381,0.3043,0.4583,0.3478,0.2778
0.3913,0.4255,0.383,0.4444,0.4681,0.44,0.4314,0.4783,0.3913,0.4255,0.4889,0.4651
0.4286,0.4561,0.4561,0.48,0.3929,0.4407,0.4643,0.4706,0.4286,0.4364,0.4068,0.52
0.5098,0.5714,0.5306,0.3478,0.5417,0.52,0.5098,0.375,0.5098,0.52,0.5455,0.5116
0.5652,0.5909,0.566,0.4444,0.5778,0.5652,0.625,0.4545,0.5652,0.55,0.6222,0.4
0.52,0.4898,0.48,0.3529,0.5306,0.52,0.4583,0.3529,0.52,0.5,0.5417,0.4082
0.2917,0.2857,0.3265,0.4583,0.32,0.2917,0.2917,0.4681,0.2917,0.2128,0.2222,0.3902
0.5714,0.5306,0.6154,0.4444,0.5769,0.6,0.6182,0.4,0.5714,0.5,0.5818,0.4211
0.4211,0.4545,0.4186,0.3333,0.4286,0.45,0.4348,0.2791,0.2353,0.4211,0.4286,0.2
0.4583,0.5306,0.383,0.5106,0.4898,0.5098,0.449,0.5455,0.4583,0.4255,0.4783,0.4242
0.56,0.5882,0.5714,0.3846,0.56,0.5882,0.549,0.4151,0.56,0.5098,0.6,0.4651
0.5882,0.6122,0.5833,0.5532,0.5556,0.5769,0.566,0.5778,0.5882,0.5098,0.5,0.5833
0.3636,0.386,0.4815,0.44,0.3704,0.3929,0.4727,0.4,0.3636,0.449,0.4364,0.4103
0.4167,0.4074,0.4255,0.2963,0.4,0.4,0.3774,0.2963,0.4167,0.3793,0.4231,0.3404
0.5417,0.4906,0.5714,0.4314,0.5106,0.5385,0.48,0.4314,0.5417,0.4783,0.5882,0.4211
0.5238,0.4762,0.4286,0.5652,0.5333,0.5238,0.5238,0.5333,0.5238,0.4762,0.4,0.4615
0.449,0.44,0.4727,0.4082,0.449,0.44,0.4815,0.4082,0.449,0.4545,0.4815,0.3333
0.4444,0.4255,0.4255,0.4815,0.5098,0.4615,0.44,0.5,0.4444,0.4783,0.5098,0.3636
0.4706,0.4727,0.449,0.4583,0.4815,0.5,0.5098,0.449,0.3462,0.5,0.4889,0.2857
0.36,0.3913,0.3571,0.449,0.4,0.3774,0.4151,0.449,0.36,0.4255,0.4231,0.5238
0.4815,0.5818,0.5357,0.4545,0.5517,0.5172,0.5455,0.4255,0.4667,0.5909,0.5455,0.4737
0.5641,0.6047,0.55,0.4583,0.5581,0.55,0.5455,0.44,0.3684,0.4324,0.4516,0.3784
0.4878,0.5333,0.5217,0.6047,0.5455,0.4878,0.4878,0.6047,0.4878,0.5789,0.5532,0.5405
0.4615,0.4364,0.3929,0.3673,0.4151,0.4444,0.4074,0.3673,0.4615,0.4706,0.3774,0.3111
0.5581,0.5833,0.5581,0.381,0.6087,0.5909,0.6087,0.381,0.3684,0.5238,0.5217,0.4242
0.359,0.4,0.4167,0.381,0.4186,0.3415,0.4,0.3721,0.3077,0.4091,0.5333,0.3429
0.383,0.4082,0.4231,0.4082,0.4082,0.4167,0.3333,0.375,0.3721,0.4364,0.4091,0.4118
0.5833,0.6522,0.6,0.4082,0.5957,0.5714,0.6,0.4167,0.5778,0.6364,0.5957,0.4681
0.4364,0.4561,0.4815,0.3182,0.4643,0.4912,0.4561,0.3478,0.4364,0.4918,0.449,0.4324
0.5833,0.6383,0.6275,0.5106,0.5833,0.6122,0.5714,0.4889,0.5833,0.5,0.5106,0.4211
0.5106,0.4255,0.4583,0.3404,0.4528,0.48,0.4706,0.375,0.5106,0.4255,0.5128,0.3721
0.4898,0.52,0.5106,0.5,0.5306,0.52,0.52,0.5,0.4898,0.5882,0.5417,0.5455
0.3902,0.4091,0.3636,0.4286,0.4091,0.3721,0.4,0.3902,0.3902,0.3243,0.4103,0.5161
0.5,0.549,0.4898,0.4364,0.5306,0.5306,0.5185,0.4167,0.4615,0.4348,0.5366,0.45
0.6154,0.5532,0.5333,0.4762,0.619,0.5854,0.5455,0.4762,0.6154,0.5581,0.4681,0.4571
0.3704,0.4211,0.4211,0.4528,0.3929,0.3571,0.4211,0.4906,0.3704,0.3509,0.3111,0.4
0.5085,0.5246,0.4918,0.4906,0.5397,0.4918,0.5161,0.4906,0.5085,0.566,0.5,0.5
0.4364,0.4138,0.4138,0.4286,0.4138,0.4,0.3793,0.4364,0.3462,0.4231,0.3396,0.4091
0.5405,0.4706,0.5556,0.5238,0.55,0.5128,0.5,0.45,0.5405,0.6667,0.6316,0.4667
0.5405,0.5,0.5366,0.5,0.5789,0.5405,0.5641,0.4865,0.5405,0.5946,0.4737,0.3871
0.4762,0.4762,0.4762,0.3182,0.4878,0.4762,0.4878,0.3256,0.4762,0.3902,0.5,0.3333
0.5778,0.5,0.4545,0.4583,0.5217,0.5532,0.56,0.4255,0.5778,0.25,0.5238,0.45
0.4167,0.4583,0.5283,0.3704,0.4314,0.4,0.4898,0.3704,0.4167,0.4746,0.5357,0.381
0.4074,0.4,0.4,0.4615,0.4,0.4643,0.4483,0.48,0.449,0.4314,0.4186,0.4186
0.5,0.4898,0.5185,0.3333,0.5,0.5532,0.5283,0.2927,0.4,0.3721,0.4167,0.3333
0.4583,0.5283,0.4528,0.4706,0.48,0.4706,0.5,0.48,0.4583,0.48,0.5,0.5116
0.5,0.4815,0.5385,0.4082,0.56,0.5385,0.5283,0.3673,0.5,0.5556,0.5714,0.4286
0.5778,0.5957,0.56,0.4348,0.5957,0.6087,0.5306,0.4186,0.5778,0.5116,0.5098,0.4242
0.3636,0.3478,0.383,0.3462,0.3404,0.3478,0.3478,0.3673,0.3182,0.3636,0.383,0.3902
0.5581,0.5217,0.5106,0.5957,0.5532,0.5417,0.5,0.5957,0.5854,0.4,0.5714,0.4444
0.4,0.4444,0.4348,0.3721,0.4681,0.449,0.44,0.3721,0.4,0.4255,0.4186,0.3784
0.5116,0.5909,0.5957,0.4545,0.5778,0.5652,0.5833,0.4651,0.5116,0.5778,0.5789,0.3226
0.4583,0.44,0.4681,0.4898,0.4082,0.4314,0.4706,0.4898,0.4583,0.4583,0.4255,0.449
0.4815,0.5424,0.4762,0.3673,0.5,0.5,0.5263,0.3478,0.4815,0.4082,0.449,0.1622
0.44,0.4906,0.4912,0.4,0.5283,0.4815,0.4151,0.3922,0.4167,0.4348,0.4167,0.3784
0.5417,0.5,0.48,0.4706,0.5106,0.5098,0.48,0.4706,0.5417,0.5854,0.5306,0.3529
0.5417,0.5417,0.5455,0.5532,0.56,0.5306,0.5,0.5333,0.4783,0.55,0.5714,0.4324
0.439,0.4889,0.5532,0.5,0.5238,0.4762,0.4651,0.4681,0.4865,0.3415,0.4444,0.4242
0.3913,0.4167,0.4,0.381,0.4167,0.4255,0.4091,0.4186,0.3913,0.4186,0.4615,0.4324
0.48,0.5283,0.5769,0.5172,0.5385,0.5385,0.5,0.5263,0.48,0.48,0.5909,0.5238
0.4186,0.4091,0.381,0.2,0.4186,0.4091,0.381,0.2,0.4186,0.4528,0.3415,0.2326
0.4615,0.4828,0.4828,0.3448,0.5,0.4643,0.5085,0.3214,0.4643,0.4314,0.5185,0.4762
0.5106,0.4906,0.5,0.4545,0.48,0.48,0.5098,0.4091,0.5106,0.4444,0.4444,0.3415
0.5217,0.5106,0.5106,0.5714,0.4783,0.5106,0.5217,0.5854,0.5217,0.4615,0.4444,0.4375
0.44,0.4082,0.3704,0.2857,0.4151,0.4528,0.3929,0.3265,0.3529,0.44,0.449,0.359
0.5,0.4815,0.566,0.5,0.4906,0.4906,0.5098,0.4706,0.4314,0.4186,0.4912,0.4651
0.3529,0.3704,0.3396,0.4151,0.3636,0.3774,0.3793,0.4151,0.3333,0.4364,0.4706,0.4
0.48,0.5098,0.5455,0.44,0.56,0.5385,0.5714,0.4,0.48,0.5417,0.5,0.5294
0.52,0.4898,0.5091,0.2857,0.5185,0.5283,0.5556,0.2857,0.52,0.5532,0.4906,0.2857
0.5263,0.5778,0.5366,0.4,0.6,0.6087,0.5,0.4103,0.5263,0.5714,0.56,0.4
0.5778,0.5306,0.5217,0.4906,0.5778,0.5652,0.5417,0.4906,0.5778,0.5417,0.5098,0.4
0.4706,0.4444,0.4444,0.4,0.4615,0.4815,0.4444,0.4082,0.4615,0.4706,0.4681,0.5106
0.5778,0.5833,0.6383,0.6364,0.6383,0.6087,0.5833,0.5366,0.5778,0.5455,0.5333,0.5
0.5217,0.5581,0.4889,0.4615,0.5652,0.5333,0.4783,0.4615,0.4103,0.5405,0.5641,0.4848
0.4167,0.44,0.449,0.4082,0.44,0.4167,0.4314,0.4082,0.4167,0.4681,0.4651,0.4651
0.2927,0.2927,0.3404,0.4255,0.2927,0.2927,0.3333,0.4583,0.4545,0.4186,0.2857,0.4
0.4762,0.4889,0.5098,0.2927,0.5417,0.5106,0.5106,0.2857,0.4762,0.4314,0.4878,0.4324
0.45,0.4103,0.4,0.5,0.4762,0.4762,0.5,0.5455,0.45,0.4242,0.4848,0.4737
0.5652,0.5306,0.5417,0.4167,0.56,0.5,0.549,0.44,0.4186,0.439,0.5854,0.3889
0.4255,0.3922,0.44,0.4681,0.4314,0.4314,0.449,0.4583,0.4545,0.3636,0.4545,0.35
0.625,0.6364,0.625,0.5652,0.6122,0.6154,0.5882,0.5652,0.625,0.625,0.5333,0.5854
0.4082,0.4898,0.4783,0.3913,0.4706,0.44,0.4815,0.4082,0.4082,0.4082,0.5333,0.4211
0.4167,0.4255,0.4,0.2174,0.4167,0.4,0.4167,0.2609,0.4167,0.3556,0.359,0.3636
0.5306,0.549,0.6038,0.3902,0.5769,0.566,0.5614,0.4286,0.5306,0.5,0.5,0.4
0.3529,0.3793,0.4516,0.383,0.3265,0.3462,0.4286,0.3913,0.4,0.2979,0.4211,0.4286
0.52,0.549,0.4912,0.3704,0.4615,0.549,0.5532,0.3704,0.52,0.48,0.4898,0.449
0.4706,0.5,0.5,0.4074,0.4906,0.5,0.4528,0.4074,0.4706,0.4074,0.4528,0.4545
0.5098,0.5091,0.4667,0.5,0.549,0.5283,0.5385,0.4898,0.4583,0.5283,0.5714,0.5366
0.5455,0.5532,0.6122,0.4545,0.5833,0.5833,0.5417,0.4348,0.4444,0.4444,0.5098,0.4211
0.5854,0.5238,0.5581,0.5,0.5778,0.5455,0.5455,0.5,0.5854,0.5854,0.6522,0.5
0.5106,0.4783,0.4314,0.4545,0.5106,0.5,0.5,0.4545,0.5106,0.4186,0.4762,0.4324
0.4906,0.4615,0.4483,0.4074,0.4815,0.4615,0.5185,0.4151,0.4906,0.4906,0.5217,0.3077
0.4255,0.48,0.4,0.3404,0.4583,0.449,0.44,0.2667,0.4255,0.4255,0.4878,0.3333
0.5,0.4906,0.4615,0.449,0.5098,0.5,0.4615,0.449,0.5,0.3721,0.4,0.3902
0.2857,0.3137,0.2692,0.3265,0.2857,0.32,0.2857,0.3404,0.2857,0.5106,0.5333,0.359
0.5128,0.439,0.5128,0.4898,0.5366,0.45,0.5455,0.4898,0.5128,0.5238,0.5,0.4103
0.5,0.4906,0.5283,0.5306,0.56,0.4706,0.4906,0.5306,0.5,0.359,0.5,0.4878
0.4314,0.4528,0.5098,0.3929,0.4727,0.4906,0.4906,0.3929,0.4314,0.4898,0.5283,0.4651
0.383,0.48,0.4444,0.2979,0.4255,0.383,0.449,0.3265,0.383,0.4681,0.4255,0.2381
0.5854,0.5,0.439,0.5,0.5909,0.5652,0.5778,0.5,0.5789,0.5116,0.5217,0.5263
0.5217,0.52,0.4727,0.4,0.5714,0.5106,0.5714,0.3913,0.5217,0.52,0.5778,0.4103
0.5116,0.5,0.5652,0.4651,0.5333,0.5333,0.5,0.4762,0.5116,0.5778,0.4444,0.5161
0.4167,0.4074,0.4211,0.3077,0.4706,0.4,0.3846,0.3077,0.4167,0.4,0.4643,0.2927
0.5909,0.6364,0.4681,0.5652,0.6364,0.6222,0.6222,0.5532,0.5909,0.5,0.5,0.5366
0.3704,0.3571,0.3548,0.4,0.3571,0.3704,0.3607,0.3636,0.3478,0.3667,0.4,0.2703
0.5652,0.5652,0.5333,0.4528,0.5532,0.5957,0.6087,0.4898,0.5652,0.5455,0.5532,0.35
0.383,0.3922,0.375,0.3404,0.383,0.375,0.3556,0.3333,0.383,0.3415,0.3243,0.3529
0.6122,0.5385,0.5714,0.6122,0.5882,0.64,0.6154,0.64,0.6122,0.6087,0.4167,0.6154
0.4651,0.5106,0.5581,0.44,0.5532,0.5833,0.5306,0.4681,0.4651,0.5581,0.45,0.4324
0.5,0.5306,0.4906,0.4091,0.5714,0.5417,0.5,0.3721,0.5,0.4762,0.5,0.2778
0.4091,0.4,0.4906,0.3478,0.4167,0.375,0.449,0.3043,0.3243,0.4545,0.5652,0.4103
0.48,0.4815,0.4727,0.5106,0.5,0.48,0.4364,0.4898,0.48,0.5417,0.48,0.4651
0.4783,0.4444,0.5306,0.4091,0.5106,0.4783,0.5217,0.4091,0.4783,0.5333,0.449,0.4706
0.4651,0.4348,0.4889,0.5,0.4651,0.5,0.5116,0.5217,0.4167,0.4583,0.4348,0.45
0.4898,0.4231,0.4528,0.4898,0.5,0.5,0.4898,0.52,0.4898,0.5,0.5263,0.3684
0.449,0.44,0.44,0.3043,0.449,0.4528,0.5,0.2979,0.449,0.44,0.2979,0.2162
0.6038,0.5818,0.5763,0.5283,0.5862,0.6207,0.5965,0.5385,0.6038,0.5926,0.5714,0.5366
0.55,0.5455,0.4545,0.4545,0.5581,0.5581,0.5333,0.4889,0.55,0.5306,0.6122,0.45
0.3273,0.3729,0.3492,0.4127,0.386,0.3448,0.339,0.3934,0.3273,0.3404,0.4151,0.3846
0.4,0.4,0.4737,0.2632,0.4103,0.4762,0.4615,0.2703,0.4186,0.4737,0.4737,0.4444
0.4444,0.4561,0.52,0.3571,0.4194,0.4138,0.4068,0.3571,0.4444,0.3729,0.386,0.2979
0.4889,0.4783,0.4545,0.4,0.4681,0.4889,0.449,0.4,0.4091,0.4706,0.4082,0.4
0.5769,0.5714,0.5172,0.48,0.5769,0.5769,0.5455,0.5333,0.5769,0.6122,0.5882,0.5238
0.4324,0.45,0.3913,0.2581,0.5,0.439,0.3721,0.25,0.4324,0.4286,0.5263,0.2069
0.52,0.549,0.4615,0.4231,0.566,0.5,0.5185,0.4151,0.4643,0.5385,0.5714,0.36
0.5238,0.5116,0.5455,0.6,0.5238,0.5333,0.5238,0.6,0.5238,0.4737,0.5641,0.4878
0.4783,0.4255,0.4151,0.4,0.5098,0.4583,0.44,0.4348,0.44,0.5098,0.5098,0.3721
0.5,0.52,0.5306,0.5,0.5882,0.52,0.6038,0.5,0.5,0.5581,0.5,0.4737
0.4444,0.4255,0.449,0.3922,0.4348,0.4583,0.449,0.3922,0.4444,0.3846,0.3404,0.4651
0.5455,0.5455,0.5714,0.4255,0.5,0.5333,0.5778,0.4314,0.5455,0.5,0.48,0.3333
0.5217,0.549,0.56,0.3478,0.5,0.5714,0.56,0.383,0.4889,0.5778,0.5263,0.4737
0.3333,0.3158,0.3478,0.359,0.35,0.359,0.3333,0.3243,0.3333,0.3721,0.3404,0.3889
0.4906,0.4815,0.5098,0.4231,0.5,0.5,0.4912,0.4583,0.4906,0.5091,0.5357,0.3415
0.64,0.5926,0.5714,0.6,0.64,0.64,0.5818,0.549,0.64,0.56,0.5556,0.5714
0.4167,0.4314,0.3922,0.375,0.383,0.4231,0.44,0.375,0.4167,0.44,0.4583,0.3
0.4167,0.3846,0.4286,0.4286,0.375,0.4082,0.3922,0.4151,0.3333,0.3509,0.3571,0.3636
0.375,0.4255,0.4167,0.449,0.449,0.3333,0.4167,0.449,0.375,0.44,0.56,0.4737
0.5333,0.5306,0.4583,0.4103,0.5532,0.5532,0.5106,0.45,0.5333,0.5333,0.4898,0.3226
0.48,0.4615,0.4364,0.5098,0.48,0.4615,0.4364,0.5098,0.48,0.4898,0.4615,0.4
0.4348,0.4681,0.48,0.44,0.4898,0.5,0.52,0.44,0.439,0.3333,0.375,0.4091
0.5455,0.5455,0.5417,0.4545,0.5306,0.5106,0.5818,0.4186,0.4783,0.4898,0.5385,0.3415
0.3902,0.381,0.3636,0.4103,0.4103,0.3721,0.4,0.4103,0.3902,0.4348,0.52,0.3243
0.5455,0.5614,0.5714,0.4444,0.5614,0.5455,0.4815,0.4364,0.449,0.5385,0.4583,0.3913
0.48,0.4364,0.4561,0.4528,0.5,0.4815,0.4912,0.4528,0.48,0.5,0.5909,0.45
0.4651,0.5217,0.4444,0.3111,0.4348,0.4545,0.4783,0.3111,0.4651,0.4,0.4444,0.4
0.5333,0.52,0.5652,0.383,0.5714,0.5714,0.5532,0.3913,0.5333,0.5116,0.5,0.381
0.5098,0.5556,0.4783,0.48,0.5306,0.5385,0.5,0.5,0.5098,0.625,0.4528,0.5238
0.4681,0.5283,0.5,0.4681,0.5,0.5098,0.56,0.449,0.4681,0.5,0.5217,0.359
0.449,0.4528,0.4151,0.4,0.4898,0.44,0.4615,0.4314,0.2439,0.4528,0.35,0.3
0.5778,0.5957,0.5833,0.3333,0.6222,0.6383,0.6122,0.3333,0.5778,0.6316,0.6829,0.4516
0.4091,0.4255,0.4783,0.4898,0.4186,0.4348,0.4348,0.4783,0.4091,0.4681,0.44,0.439
0.4889,0.449,0.3704,0.4186,0.4583,0.48,0.48,0.4186,0.4889,0.3404,0.3913,0.45
0.3462,0.3333,0.3158,0.4074,0.3636,0.3273,0.3333,0.4074,0.3636,0.3571,0.3077,0.4762
0.5909,0.5417,0.5556,0.4706,0.5652,0.6047,0.6364,0.5,0.5909,0.6122,0.5,0.3902
0.44,0.449,0.5532,0.48,0.44,0.44,0.4898,0.449,0.4,0.5366,0.5098,0.4615
0.4681,0.5306,0.4231,0.4583,0.5417,0.5098,0.5106,0.4583,0.4681,0.4103,0.4444,0.4211
0.6415,0.6545,0.6552,0.5714,0.6429,0.6296,0.6429,0.5714,0.6415,0.5455,0.5965,0.6087
0.4783,0.449,0.44,0.4255,0.4444,0.4681,0.4255,0.4348,0.4783,0.5116,0.4091,0.3784
0.3182,0.3462,0.3704,0.2927,0.3256,0.2979,0.3333,0.2927,0.3333,0.3137,0.4314,0.3429
0.5455,0.4762,0.5116,0.5116,0.5116,0.5333,0.5455,0.5116,0.5455,0.439,0.5,0.4615
0.44,0.44,0.4255,0.3333,0.449,0.44,0.4082,0.375,0.44,0.4545,0.4,0.3784
0.5098,0.566,0.4828,0.4706,0.5455,0.5385,0.5,0.4706,0.4706,0.5091,0.5455,0.4186
0.4706,0.4231,0.5,0.3922,0.4898,0.5185,0.5091,0.4,0.4706,0.3704,0.4583,0.4
0.4444,0.5098,0.4706,0.4444,0.5333,0.5106,0.4583,0.3673,0.4444,0.449,0.5106,0.439
0.4651,0.5333,0.5778,0.4,0.5217,0.5217,0.5417,0.4186,0.4651,0.4681,0.4783,0.3077
0.4286,0.4681,0.5,0.3721,0.4651,0.4889,0.4444,0.4348,0.4286,0.5,0.4286,0.4103
0.5116,0.5116,0.4783,0.5641,0.619,0.5333,0.5909,0.5641,0.5116,0.5641,0.5581,0.3784
0.4545,0.4783,0.4583,0.4,0.4783,0.4545,0.4186,0.4167,0.4545,0.3721,0.5,0.4348
0.4,0.449,0.3793,0.4074,0.4,0.3929,0.3793,0.4,0.4,0.3774,0.3214,0.5116
0.6047,0.6087,0.6383,0.5957,0.6047,0.5909,0.5909,0.5333,0.6047,0.6222,0.4324,0.5946
0.4583,0.4615,0.4651,0.375,0.449,0.4898,0.44,0.375,0.3,0.3902,0.3721,0.2703
0.5532,0.5283,0.4783,0.5238,0.5417,0.5306,0.48,0.5,0.52,0.5652,0.6087,0.5789
0.5417,0.52,0.4898,0.566,0.5306,0.5417,0.5714,0.566,0.5,0.5532,0.4681,0.5366
0.4167,0.4,0.4348,0.3043,0.4583,0.4314,0.4615,0.3111,0.4167,0.3922,0.4906,0.3158
0.375,0.4528,0.4151,0.2692,0.4906,0.4528,0.4364,0.24,0.375,0.4444,0.4583,0.2703
0.449,0.4615,0.4444,0.375,0.4815,0.5098,0.4528,0.3673,0.449,0.5,0.5652,0.3913
0.5532,0.6038,0.5172,0.4783,0.5833,0.5769,0.52,0.4783,0.5532,0.5652,0.6667,0.5238
0.4615,0.4314,0.5091,0.4211,0.5091,0.5091,0.5172,0.4483,0.3529,0.5,0.5333,0.3556
0.44,0.4074,0.4528,0.5,0.4,0.44,0.4615,0.5,0.44,0.36,0.4727,0.4865
0.5909,0.6383,0.5854,0.4651,0.5957,0.5417,0.5417,0.4651,0.5909,0.6222,0.5909,0.4865
0.5,0.5106,0.4889,0.4186,0.5106,0.4681,0.5,0.4186,0.5,0.4762,0.4878,0.5128
0.3902,0.4444,0.2381,0.2273,0.4286,0.4348,0.3556,0.2273,0.3902,0.2857,0.359,0.1622
0.5,0.5,0.5306,0.4,0.5098,0.5,0.52,0.4,0.383,0.4255,0.5128,0.4
0.5217,0.5532,0.5417,0.5,0.5957,0.5532,0.5217,0.5217,0.5217,0.5116,0.6522,0.5556
0.4286,0.4545,0.44,0.5217,0.4889,0.4286,0.4889,0.4889,0.5,0.5106,0.5116,0.45
0.3333,0.4,0.36,0.449,0.4,0.4167,0.3922,0.449,0.3462,0.2791,0.3556,0.2857
0.6122,0.5769,0.5769,0.375,0.6,0.56,0.549,0.3404,0.6122,0.5306,0.6,0.3902
0.3404,0.36,0.3462,0.4727,0.3913,0.383,0.4074,0.4615,0.3404,0.4878,0.45,0.4
0.5833,0.5532,0.52,0.5417,0.549,0.56,0.5385,0.5417,0.5833,0.5417,0.6047,0.439
0.6341,0.5909,0.549,0.5946,0.6154,0.6222,0.6522,0.5556,0.4878,0.6087,0.6667,0.4848
0.4528,0.4615,0.4828,0.3846,0.4643,0.4528,0.5091,0.3922,0.4528,0.4407,0.4912,0.4186
0.2727,0.2609,0.2083,0.28,0.2609,0.3265,0.28,0.28,0.2326,0.2,0.2128,0.2632
0.4898,0.5,0.4783,0.4898,0.4898,0.48,0.4783,0.5,0.4898,0.4545,0.4444,0.4103
0.3902,0.4615,0.449,0.3684,0.4186,0.4091,0.4186,0.3684,0.3902,0.5128,0.4706,0.3784
0.6,0.5614,0.5769,0.4615,0.6,0.5769,0.5714,0.4706,0.6,0.6522,0.4762,0.359
0.4314,0.4727,0.4151,0.3922,0.5283,0.4906,0.4615,0.3846,0.4314,0.4231,0.4444,0.2727
0.3636,0.4898,0.5556,0.2381,0.4,0.4348,0.48,0.2326,0.3636,0.4898,0.566,0.4444
0.5532,0.6383,0.5417,0.566,0.5714,0.5417,0.5882,0.5283,0.5532,0.4681,0.5217,0.4103
0.5778,0.5778,0.6383,0.4783,0.6522,0.6383,0.6364,0.4783,0.5778,0.55,0.6154,0.3889
0.3673,0.4,0.3556,0.3396,0.3529,0.3922,0.36,0.3333,0.383,0.381,0.3265,0.3182
0.5833,0.4528,0.4583,0.4583,0.56,0.5714,0.4681,0.4583,0.5833,0.449,0.5,0.2759
0.5,0.449,0.4706,0.4583,0.5098,0.4898,0.4906,0.4681,0.5,0.5,0.52,0.3256
0.4889,0.4681,0.5,0.4444,0.5532,0.4783,0.4528,0.4444,0.3913,0.4865,0.4878,0.4324
0.56,0.56,0.6038,0.5854,0.5714,0.56,0.6,0.6047,0.56,0.3889,0.45,0.4878
0.4681,0.5106,0.4255,0.5116,0.4348,0.449,0.4615,0.4651,0.4681,0.4082,0.381,0.2353
0.32,0.3077,0.3158,0.3396,0.3636,0.3396,0.36,0.3396,0.32,0.4211,0.4364,0.381
0.5,0.5357,0.4615,0.4528,0.5263,0.5263,0.5091,0.4528,0.5,0.5,0.4727,0.4167
0.4783,0.5532,0.5,0.4,0.5217,0.5306,0.56,0.4,0.48,0.5128,0.4091,0.5405
0.4878,0.439,0.4545,0.4091,0.4186,0.439,0.4583,0.4091,0.4878,0.4286,0.5405,0.3243
